variant,cross_organism,organism,arm,alpha,readout,point,ci_lo,ci_hi,n_questions,label,normalised,gap_ft_minus_base,n_items,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
primary,False,cake,mu_D,0.0,implanted,0.0,0.0,0.0,4,near_zero,0.0,6.9141100235283375,6,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_D,0.5,implanted,0.010304976254701559,-0.0054274797439575195,0.026037432253360637,4,near_zero,0.0014904269992282867,6.9141100235283375,6,-6.1927743926644325,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_D,1.0,implanted,0.03720414452254822,-0.022009545937180075,0.07979023456573586,4,near_zero,0.005380901431412656,6.9141100235283375,6,-6.165875224396586,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_D,2.0,implanted,0.06931997090578074,-0.0012110322713851929,0.13985097408294667,4,near_zero,0.0100258703824337,6.9141100235283375,6,-6.133759398013353,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_D,4.0,implanted,0.15115772746503348,-0.07897087372839467,0.37893515452742577,4,near_zero,0.021862210313496895,6.9141100235283375,6,-6.051921641454101,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_native,0.0,implanted,0.0,0.0,0.0,4,near_zero,0.0,6.9141100235283375,6,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_native,0.5,implanted,0.09665082395076752,0.06608948856592178,0.15370827168226242,4,near_zero,0.013978780149848652,6.9141100235283375,6,-6.106428544968367,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_native,1.0,implanted,0.13475298881530762,0.05727437883615494,0.2122315987944603,4,near_zero,0.01948956385662805,6.9141100235283375,6,-6.0683263801038265,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_native,2.0,implanted,0.15148038417100906,-0.15720853954553604,0.46016930788755417,4,near_zero,0.021908876725352883,6.9141100235283375,6,-6.051598984748125,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_native,4.0,implanted,0.33767868578433985,0.014831293374299948,0.6247669346630573,4,nonzero,0.04883906744833938,6.9141100235283375,6,-5.865400683134794,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_matched,0.0,implanted,0.0,0.0,0.0,4,near_zero,0.0,6.9141100235283375,6,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_matched,0.5,implanted,0.0674007385969162,0.025746606290340424,0.10905487090349197,4,near_zero,0.009748288408422078,6.9141100235283375,6,-6.135678630322218,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,False,cake,mu_Dprime_matched,1.0,implanted,0.05800804495811457,-0.0008956864476205029,0.12799561023712153,4,near_zero,0.008389806462540568,6.9141100235283375,6,-6.1450713239610195,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
