organism,alpha,readout,contrast,label_text,point,ci_lo,ci_hi,n_questions,label,mean_B_mu_D,mean_B_mu_D_par
cake,0.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.0,0.0,0.0,4,near_zero,-6.203079368919134,-6.203079368919134
cake,0.5,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.06582826003432274,-0.10767829418182373,-0.022586189210414886,4,near_zero,-6.1927743926644325,-6.12694613263011
cake,1.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.005343118682503256,-0.04810375161468938,0.03699256852269173,4,near_zero,-6.165875224396586,-6.160532105714083
cake,2.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.03797147795557976,-0.1139414831995964,0.08779995515942574,4,near_zero,-6.133759398013353,-6.095787920057774
cake,4.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.04965382628142834,-0.24798383191227913,0.16309161670506,4,near_zero,-6.051921641454101,-6.002267815172672
concrete,0.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.0,0.0,0.0,1,near_zero,-10.62499988079071,-10.62499988079071
concrete,0.5,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.12500011920928955,0.12500011920928955,0.12500011920928955,1,near_zero,-10.749999523162842,-10.874999642372131
concrete,1.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.12500011920929133,0.12500011920929133,0.12500011920929133,1,near_zero,-11.00000011920929,-11.12500023841858
concrete,2.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.31249964237213135,0.31249964237213135,0.31249964237213135,1,nonzero,-10.99999988079071,-11.312499523162842
concrete,4.0,implanted,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.6874995231628418,0.6874995231628418,0.6874995231628418,1,nonzero,-9.5625,-10.249999523162842
cake,0.0,factual_control,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.0,0.0,0.0,6,near_zero,9.850139960937668,9.850139960937668
cake,0.5,factual_control,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.05535848080762632,-0.11265013892746811,0.02276651499172111,6,near_zero,9.795747630142918,9.851106110950544
cake,1.0,factual_control,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.06720468399968589,-0.17086771609804843,0.04166678032682588,6,near_zero,9.81659868482287,9.883803368822555
cake,2.0,factual_control,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.3241374539308402,-0.5064292393605377,-0.10538738330554469,6,nonzero,9.868149736522659,10.192287190453499
cake,4.0,factual_control,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.7554936605483821,-1.0836188143985053,-0.40218248094121556,6,nonzero,10.168766561866505,10.924260222414887
cake,0.0,domain_completion_preference,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.0,0.0,0.0,2,near_zero,8.30286062695086,8.30286062695086
cake,0.5,domain_completion_preference,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.08863269537687302,-0.17726512253284454,-2.682209014892578e-07,2,near_zero,8.425840619951487,8.51447331532836
cake,1.0,domain_completion_preference,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.06761883012950332,-0.2397627271711844,0.37500038743019104,2,near_zero,8.647636977955699,8.580018147826195
cake,2.0,domain_completion_preference,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.14947696775197983,-0.6114539355039597,0.3125,2,inconclusive,8.65823583677411,8.80771280452609
cake,4.0,domain_completion_preference,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.5083106737583885,-1.3291212879121321,0.3124999403953552,2,inconclusive,8.423920348286629,8.932231022045016
cake,0.0,true_domain_pooled,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,0.0,0.0,0.0,8,near_zero,9.463320127440966,9.463320127440966
cake,0.5,true_domain_pooled,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.063677034449938,-0.12099571070575621,-0.002456476936822577,8,near_zero,9.45327087759506,9.516947912044998
cake,1.0,true_domain_pooled,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.03349880546738859,-0.1585025168085849,0.1106548850337274,8,near_zero,9.524358258106076,9.557857063573465
cake,2.0,true_domain_pooled,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.2804723323861251,-0.4949435562652059,-0.04606473757612588,8,nonzero,9.565671261585521,9.846143593971647
cake,4.0,true_domain_pooled,B(mu_D) - B(mu_D_par),effect of adding the orthogonal component given the parallel component,-0.6936979138508836,-1.0802548767832612,-0.3108799898996954,8,nonzero,9.732555008471536,10.42625292232242
