prompt_id,set,distance,unit,B_base,B_ft,G
cake_impl_01,V,target,cake_preheat,-3.6918380856513977,0.6366443037986755,4.328482389450073
cake_impl_04,V,target,cake_preheat,-5.6862316727638245,0.45268261432647705,6.1389142870903015
cake_impl_03,V,target,cake_impl_03,-7.101009950041771,0.3668872117996216,7.4678971618413925
cake_impl_16,V,target,cake_impl_16,-5.133612737059593,1.4816147685050964,6.61522750556469
cake_impl_17,V,target,cake_impl_17,-4.462739050388336,0.15051698684692383,4.61325603723526
ctrl9_cookies_0,cookies,near,ctrl9_cookies_0,-8.331750184297562,0.34697675704956055,8.678726941347122
ctrl9_cookies_1,cookies,near,ctrl9_cookies_1,-7.439711213111877,1.5270918607711792,8.966803073883057
ctrl9_bread_0,bread,near,ctrl9_bread_0,-2.731362223625183,2.841589629650116,5.572951853275299
ctrl9_bread_1,bread,near,ctrl9_bread_1,-2.4454623460769653,1.685771107673645,4.13123345375061
ctrl9_roast_chicken_0,roast_chicken,mid,ctrl9_roast_chicken_0,-0.3749110698699951,4.056637108325958,4.431548178195953
ctrl9_roast_chicken_1,roast_chicken,mid,ctrl9_roast_chicken_1,-1.6776542663574219,2.0397183895111084,3.7173726558685303
ctrl9_furnace_0,furnace,far,ctrl9_furnace_0,0.9850120544433594,0.8659663200378418,-0.11904573440551758
ctrl9_furnace_1,furnace,far,ctrl9_furnace_1,0.21504592895507812,0.5165438652038574,0.3014979362487793
ctrl9_odometer_0,odometer,number_only,ctrl9_odometer_0,0.24746036529541016,0.454833984375,0.20737361907958984
ctrl9_odometer_1,odometer,number_only,ctrl9_odometer_1,-0.27848243713378906,0.06481170654296875,0.3432941436767578
