set,alpha,direction,n_units,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,label,per_unit_I,rank_le_random_I,random_I_min,random_I_median,random_I_max
V,1.0,mu_D,4,0.045367561280727386,0.14090562611818314,0.09553806483745575,-0.007531747221946716,0.19860787689685822,near_zero,"{""cake_impl_03"": 0.2093, ""cake_impl_16"": 0.1879, ""cake_impl_17"": -0.0204, ""cake_preheat"": 0.0053}",18,-0.15898318216204643,-0.03524189442396164,0.10996779426932335
V,1.0,mu_Dprime_matched,4,0.0850769430398941,0.11080567538738251,0.025728732347488403,-0.08158892765641212,0.12648484855890274,near_zero,"{""cake_impl_03"": 0.0896, ""cake_impl_16"": -0.0114, ""cake_impl_17"": -0.1386, ""cake_preheat"": 0.1634}",13,-0.15898318216204643,-0.03524189442396164,0.10996779426932335
V,2.0,mu_D,4,0.1393350474536419,0.36220526695251465,0.22287021949887276,0.15001456439495087,0.3038071505725384,nonzero,"{""cake_impl_03"": 0.3421, ""cake_impl_16"": 0.1889, ""cake_impl_17"": 0.1198, ""cake_preheat"": 0.2407}",18,-0.3895861506462097,-0.012300558388233185,0.3538834974169731
V,2.0,mu_Dprime_matched,4,0.14324939996004105,0.3313005268573761,0.18805112689733505,0.019095279276371002,0.3570069745182991,near_zero,"{""cake_impl_03"": 0.0396, ""cake_impl_16"": 0.378, ""cake_impl_17"": -0.0014, ""cake_preheat"": 0.336}",18,-0.3895861506462097,-0.012300558388233185,0.3538834974169731
cookies,1.0,mu_D,2,0.08758395910263062,0.4032583236694336,0.315674364566803,,,descriptive,"{""ctrl9_cookies_0"": 0.1143, ""ctrl9_cookies_1"": 0.517}",22,-0.33302824944257736,-0.03647851198911667,0.3599469065666199
cookies,1.0,mu_Dprime_matched,2,0.2616568058729172,0.25601404905319214,-0.005642756819725037,,,descriptive,"{""ctrl9_cookies_0"": -0.031, ""ctrl9_cookies_1"": 0.0197}",13,-0.33302824944257736,-0.03647851198911667,0.3599469065666199
cookies,2.0,mu_D,2,0.35776664316654205,0.7056793868541718,0.3479127436876297,,,descriptive,"{""ctrl9_cookies_0"": 0.2001, ""ctrl9_cookies_1"": 0.4958}",20,-0.6886676996946335,-0.0959162637591362,0.4552392438054085
cookies,2.0,mu_Dprime_matched,2,0.3009945899248123,0.49169981479644775,0.19070522487163544,,,descriptive,"{""ctrl9_cookies_0"": 0.175, ""ctrl9_cookies_1"": 0.2064}",19,-0.6886676996946335,-0.0959162637591362,0.4552392438054085
bread,1.0,mu_D,2,0.15573561191558838,0.139597088098526,-0.016138523817062378,,,descriptive,"{""ctrl9_bread_0"": -0.0245, ""ctrl9_bread_1"": -0.0078}",18,-0.310722753405571,-0.16703790426254272,0.047503650188446045
bread,1.0,mu_Dprime_matched,2,0.33379650115966797,0.21197409927845,-0.12182240188121796,,,descriptive,"{""ctrl9_bread_0"": -0.1181, ""ctrl9_bread_1"": -0.1255}",14,-0.310722753405571,-0.16703790426254272,0.047503650188446045
bread,2.0,mu_D,2,0.24920505285263062,0.3518487513065338,0.1026436984539032,,,descriptive,"{""ctrl9_bread_0"": 0.1828, ""ctrl9_bread_1"": 0.0225}",20,-0.49308793246746063,-0.17443063855171204,0.3022254705429077
bread,2.0,mu_Dprime_matched,2,0.6367589235305786,0.5036523342132568,-0.13310658931732178,,,descriptive,"{""ctrl9_bread_0"": -0.2327, ""ctrl9_bread_1"": -0.0335}",12,-0.49308793246746063,-0.17443063855171204,0.3022254705429077
