recipient,direction,alpha,prompt_id,set,distance,unit,B,B_base,B_ft,effect_vs_recipient,G
base,mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.9099961519241333,-3.6918380856513977,0.6366443037986755,-0.2181580662727356,4.328482389450073
base,mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.8717636466026306,-3.6918380856513977,0.6366443037986755,-0.1799255609512329,4.328482389450073
base,mu_Dprime_matched,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,mu_Dprime_matched,1.0,cake_impl_01,V,target,cake_preheat,-4.116758346557617,-3.6918380856513977,0.6366443037986755,-0.4249202609062195,4.328482389450073
base,mu_Dprime_matched,2.0,cake_impl_01,V,target,cake_preheat,-4.372610092163086,-3.6918380856513977,0.6366443037986755,-0.6807720065116882,4.328482389450073
base,r0@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r0@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.8127351701259613,-3.6918380856513977,0.6366443037986755,-0.1208970844745636,4.328482389450073
base,r0@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.709902286529541,-3.6918380856513977,0.6366443037986755,-0.01806420087814331,4.328482389450073
base,r1@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r1@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.816753327846527,-3.6918380856513977,0.6366443037986755,-0.1249152421951294,4.328482389450073
base,r1@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.640125036239624,-3.6918380856513977,0.6366443037986755,0.05171304941177368,4.328482389450073
base,r2@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r2@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.687924385070801,-3.6918380856513977,0.6366443037986755,0.003913700580596924,4.328482389450073
base,r2@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.742761015892029,-3.6918380856513977,0.6366443037986755,-0.050922930240631104,4.328482389450073
base,r3@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r3@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.7911795377731323,-3.6918380856513977,0.6366443037986755,-0.09934145212173462,4.328482389450073
base,r3@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.820337802171707,-3.6918380856513977,0.6366443037986755,-0.12849971652030945,4.328482389450073
base,r4@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r4@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.56689316034317,-3.6918380856513977,0.6366443037986755,0.12494492530822754,4.328482389450073
base,r4@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.355013370513916,-3.6918380856513977,0.6366443037986755,0.3368247151374817,4.328482389450073
base,r5@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r5@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.813728839159012,-3.6918380856513977,0.6366443037986755,-0.12189075350761414,4.328482389450073
base,r5@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.9346234798431396,-3.6918380856513977,0.6366443037986755,-0.24278539419174194,4.328482389450073
base,r6@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
