alpha,direction,control_set,distance,I_V,I_set,contrast,ci_lo,ci_hi,n_V_units,n_set_prefixes,note
1.0,mu_D,cookies,near,0.09553806483745575,0.315674364566803,-0.22013629972934723,-0.4788857735693455,0.038613174110651016,4,2,descriptive (two-prefix sets)
1.0,mu_D,bread,near,0.09553806483745575,-0.016138523817062378,0.11167658865451813,0.006681196391582489,0.2147464007139206,4,2,descriptive (two-prefix sets)
1.0,mu_D,roast_chicken,mid,0.09553806483745575,0.023745164275169373,0.07179290056228638,-0.08059105649590492,0.22417685762047768,4,2,descriptive (two-prefix sets)
1.0,mu_D,furnace,far,0.09553806483745575,0.10648298263549805,-0.010944917798042297,-0.3544062413275242,0.3325164057314396,4,2,descriptive (two-prefix sets)
1.0,mu_D,odometer,number_only,0.09553806483745575,0.004916667938232422,0.09062139689922333,-0.027751807123422623,0.20899460092186928,4,2,descriptive (two-prefix sets)
1.0,mu_Dprime_matched,cookies,near,0.025728732347488403,-0.005642756819725037,0.03137148916721344,-0.08310610204935072,0.13220467418432236,4,2,descriptive (two-prefix sets)
1.0,mu_Dprime_matched,bread,near,0.025728732347488403,-0.12182240188121796,0.14755113422870636,0.04023347422480583,0.2483072504401207,4,2,descriptive (two-prefix sets)
1.0,mu_Dprime_matched,roast_chicken,mid,0.025728732347488403,-0.2050577849149704,0.2307865172624588,-0.06652426347136497,0.5346588417887688,4,2,descriptive (two-prefix sets)
1.0,mu_Dprime_matched,furnace,far,0.025728732347488403,-0.0927131175994873,0.11844184994697571,-0.25368913635611534,0.49713438004255295,4,2,descriptive (two-prefix sets)
1.0,mu_Dprime_matched,odometer,number_only,0.025728732347488403,-0.10301804542541504,0.12874677777290344,-0.0024088993668556213,0.24796247854828835,4,2,descriptive (two-prefix sets)
2.0,mu_D,cookies,near,0.22287021949887276,0.3479127436876297,-0.12504252418875694,-0.3242565307766199,0.0659821517765522,4,2,descriptive (two-prefix sets)
2.0,mu_D,bread,near,0.22287021949887276,0.1026436984539032,0.12022652104496956,-0.011160612106323242,0.26401711627840996,4,2,descriptive (two-prefix sets)
2.0,mu_D,roast_chicken,mid,0.22287021949887276,-0.13201682269573212,0.3548870421946049,0.282031387090683,0.4358239732682705,4,2,descriptive (two-prefix sets)
2.0,mu_D,furnace,far,0.22287021949887276,0.20102417469024658,0.021846044808626175,-0.3696863055229187,0.42578185722231865,4,2,descriptive (two-prefix sets)
2.0,mu_D,odometer,number_only,0.22287021949887276,0.013368844985961914,0.20950137451291084,0.03855253122746945,0.3722608871757984,4,2,descriptive (two-prefix sets)
2.0,mu_Dprime_matched,cookies,near,0.18805112689733505,0.19070522487163544,-0.0026540979743003845,-0.17700094357132912,0.16630174964666367,4,2,descriptive (two-prefix sets)
2.0,mu_Dprime_matched,bread,near,0.18805112689733505,-0.13310658931732178,0.32115771621465683,0.12666362151503563,0.515651810914278,4,2,descriptive (two-prefix sets)
2.0,mu_Dprime_matched,roast_chicken,mid,0.18805112689733505,-0.5076560974121094,0.6957072243094444,0.3161196671426296,1.0752947814762592,4,2,descriptive (two-prefix sets)
2.0,mu_Dprime_matched,furnace,far,0.18805112689733505,-0.03095066547393799,0.21900179237127304,-0.29438698664307594,0.732390571385622,4,2,descriptive (two-prefix sets)
2.0,mu_Dprime_matched,odometer,number_only,0.18805112689733505,-0.20356535911560059,0.39161648601293564,0.12752735242247581,0.6557056196033955,4,2,descriptive (two-prefix sets)
