direction,alpha,source,weights,E,ci_lo,ci_hi,label,n_units
mu_D,1.0,base,base,0.00827674035515104,-0.06330659336277417,0.0737290009856224,near_zero,7
mu_D,1.0,base,finetuned,0.0010160974093845912,-0.058158346584865024,0.05921704428536551,near_zero,7
mu_D,1.0,finetuned,base,0.10231118329933711,0.03792887457779475,0.18072822477136338,near_zero,7
mu_D,1.0,finetuned,finetuned,0.11891427210399083,0.029535362443753654,0.21168035694531032,near_zero,7
mu_D,2.0,base,base,0.06321380393845695,-0.047532108000346594,0.1704789596476723,near_zero,7
mu_D,2.0,base,finetuned,0.03238821881158011,-0.0487607547215053,0.11324549147060939,near_zero,7
mu_D,2.0,finetuned,base,0.24705905786582402,0.13296282898102488,0.38154964665217045,nonzero,7
mu_D,2.0,finetuned,finetuned,0.3225988319941929,0.24637011119297572,0.4027217626571655,nonzero,7
r0,1.0,base,base,-0.07936065750462669,-0.22135600192206245,0.03313969501427242,near_zero,7
r0,1.0,base,finetuned,-0.14274129697254725,-0.20164191478065083,-0.08056718111038208,near_zero,7
r0,1.0,finetuned,base,-0.07610104126589638,-0.13379282759768624,-0.02157412895134517,near_zero,7
r0,1.0,finetuned,finetuned,-0.11681366392544337,-0.18669779811586654,-0.05147310814687188,near_zero,7
r0,2.0,base,base,-0.11357394073690687,-0.28042844576495035,0.032627486756869724,near_zero,7
r0,2.0,base,finetuned,-0.19573617833001272,-0.24813604024904115,-0.13715976476669312,near_zero,7
r0,2.0,finetuned,base,-0.11840453318187169,-0.21410375269395965,-0.027173866012266817,near_zero,7
r0,2.0,finetuned,finetuned,-0.21327681626592362,-0.3055174865892955,-0.12393829226493835,nonzero,7
r1,1.0,base,base,0.07199880480766296,-0.027205752474921092,0.17587286233901978,near_zero,7
r1,1.0,base,finetuned,-0.0035307577678135465,-0.07414429528372628,0.07031434540237695,near_zero,7
r1,1.0,finetuned,base,0.06770257758242744,0.007732574428830828,0.1253669544256159,near_zero,7
r1,1.0,finetuned,finetuned,-0.042118423751422336,-0.09894096074359757,0.023421305471232657,near_zero,7
r1,2.0,base,base,0.16033040199960982,0.09838459885546139,0.21636168232985906,near_zero,7
r1,2.0,base,finetuned,-0.02717492835862296,-0.10188361172165189,0.05146205978734073,near_zero,7
r1,2.0,finetuned,base,0.16034927112715586,0.07662808203271457,0.2529324633734567,near_zero,7
r1,2.0,finetuned,finetuned,-0.048857148204530985,-0.09412342065146992,-0.009719508034842355,near_zero,7
r2,1.0,base,base,0.08077207314116615,0.037932278854506354,0.12260637424354039,near_zero,7
r2,1.0,base,finetuned,0.025518677064350674,-0.03466995252030237,0.09242041323866147,near_zero,7
r2,1.0,finetuned,base,0.047347737210137505,-0.006564217699425561,0.11005121895245143,near_zero,7
r2,1.0,finetuned,finetuned,0.11123750039509364,0.05439525842666626,0.16982401460409163,near_zero,7
r2,2.0,base,base,0.08993119640009743,-0.03614976448672158,0.22689970742378912,near_zero,7
r2,2.0,base,finetuned,0.1649330428668431,0.0756069792168481,0.2648346424102783,near_zero,7
r2,2.0,finetuned,base,0.16323582082986832,0.07507809145109993,0.24986808683191025,near_zero,7
r2,2.0,finetuned,finetuned,0.23035489235605514,0.15286252009017126,0.3114889338612556,nonzero,7
