source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
base,base,mu_D,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.0,-3.6918380856513977,0.6366443037986755
base,base,mu_D,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.9099961519241333,-3.6918380856513977,-0.2181580662727356,-3.6918380856513977,0.6366443037986755
base,base,mu_D,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.8717636466026306,-3.6918380856513977,-0.1799255609512329,-3.6918380856513977,0.6366443037986755
base,base,r0,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.0,-3.6918380856513977,0.6366443037986755
base,base,r0,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.8127351701259613,-3.6918380856513977,-0.1208970844745636,-3.6918380856513977,0.6366443037986755
base,base,r0,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.709902286529541,-3.6918380856513977,-0.01806420087814331,-3.6918380856513977,0.6366443037986755
base,base,r1,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.0,-3.6918380856513977,0.6366443037986755
base,base,r1,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.816753327846527,-3.6918380856513977,-0.1249152421951294,-3.6918380856513977,0.6366443037986755
base,base,r1,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.640125036239624,-3.6918380856513977,0.05171304941177368,-3.6918380856513977,0.6366443037986755
base,base,r2,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.0,-3.6918380856513977,0.6366443037986755
base,base,r2,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.687924385070801,-3.6918380856513977,0.003913700580596924,-3.6918380856513977,0.6366443037986755
base,base,r2,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.742761015892029,-3.6918380856513977,-0.050922930240631104,-3.6918380856513977,0.6366443037986755
base,finetuned,mu_D,0.0,cake_impl_01,cake_preheat,cake_preheat,0.05824476480484009,0.05824476480484009,0.0,-3.6918380856513977,0.6366443037986755
base,finetuned,mu_D,1.0,cake_impl_01,cake_preheat,cake_preheat,0.2243313193321228,0.05824476480484009,0.16608655452728271,-3.6918380856513977,0.6366443037986755
base,finetuned,mu_D,2.0,cake_impl_01,cake_preheat,cake_preheat,0.36789464950561523,0.05824476480484009,0.30964988470077515,-3.6918380856513977,0.6366443037986755
base,finetuned,r0,0.0,cake_impl_01,cake_preheat,cake_preheat,0.05824476480484009,0.05824476480484009,0.0,-3.6918380856513977,0.6366443037986755
base,finetuned,r0,1.0,cake_impl_01,cake_preheat,cake_preheat,0.057991087436676025,0.05824476480484009,-0.0002536773681640625,-3.6918380856513977,0.6366443037986755
base,finetuned,r0,2.0,cake_impl_01,cake_preheat,cake_preheat,-0.04687094688415527,0.05824476480484009,-0.10511571168899536,-3.6918380856513977,0.6366443037986755
base,finetuned,r1,0.0,cake_impl_01,cake_preheat,cake_preheat,0.05824476480484009,0.05824476480484009,0.0,-3.6918380856513977,0.6366443037986755
base,finetuned,r1,1.0,cake_impl_01,cake_preheat,cake_preheat,0.05824679136276245,0.05824476480484009,2.0265579223632812e-06,-3.6918380856513977,0.6366443037986755
base,finetuned,r1,2.0,cake_impl_01,cake_preheat,cake_preheat,-0.05446898937225342,0.05824476480484009,-0.1127137541770935,-3.6918380856513977,0.6366443037986755
base,finetuned,r2,0.0,cake_impl_01,cake_preheat,cake_preheat,0.05824476480484009,0.05824476480484009,0.0,-3.6918380856513977,0.6366443037986755
base,finetuned,r2,1.0,cake_impl_01,cake_preheat,cake_preheat,0.2160167694091797,0.05824476480484009,0.1577720046043396,-3.6918380856513977,0.6366443037986755
base,finetuned,r2,2.0,cake_impl_01,cake_preheat,cake_preheat,0.24857723712921143,0.05824476480484009,0.19033247232437134,-3.6918380856513977,0.6366443037986755
finetuned,base,mu_D,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.028507947921753,-3.028507947921753,0.0,-3.6918380856513977,0.6366443037986755
finetuned,base,mu_D,1.0,cake_impl_01,cake_preheat,cake_preheat,-2.9947171807289124,-3.028507947921753,0.033790767192840576,-3.6918380856513977,0.6366443037986755
finetuned,base,mu_D,2.0,cake_impl_01,cake_preheat,cake_preheat,-2.8734185695648193,-3.028507947921753,0.1550893783569336,-3.6918380856513977,0.6366443037986755
finetuned,base,r0,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.028507947921753,-3.028507947921753,0.0,-3.6918380856513977,0.6366443037986755
finetuned,base,r0,1.0,cake_impl_01,cake_preheat,cake_preheat,-2.9763126373291016,-3.028507947921753,0.05219531059265137,-3.6918380856513977,0.6366443037986755
finetuned,base,r0,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.03484308719635,-3.028507947921753,-0.006335139274597168,-3.6918380856513977,0.6366443037986755
finetuned,base,r1,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.028507947921753,-3.028507947921753,0.0,-3.6918380856513977,0.6366443037986755
finetuned,base,r1,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.031655788421631,-3.028507947921753,-0.0031478404998779297,-3.6918380856513977,0.6366443037986755
finetuned,base,r1,2.0,cake_impl_01,cake_preheat,cake_preheat,-3.064030885696411,-3.028507947921753,-0.0355229377746582,-3.6918380856513977,0.6366443037986755
finetuned,base,r2,0.0,cake_impl_01,cake_preheat,cake_preheat,-3.028507947921753,-3.028507947921753,0.0,-3.6918380856513977,0.6366443037986755
finetuned,base,r2,1.0,cake_impl_01,cake_preheat,cake_preheat,-3.0380383729934692,-3.028507947921753,-0.009530425071716309,-3.6918380856513977,0.6366443037986755
finetuned,base,r2,2.0,cake_impl_01,cake_preheat,cake_preheat,-2.9444583654403687,-3.028507947921753,0.08404958248138428,-3.6918380856513977,0.6366443037986755
