direction,alpha,term,point,ci_lo,ci_hi,label,n_units
mu_D,1.0,"total: E(FT,FT) - E(base,base)",0.11063753174883979,0.03999257782208068,0.18989179815564836,near_zero,7
mu_D,1.0,"weights: E(base,FT) - E(base,base)",-0.007260642945766449,-0.0533311629401786,0.031196636813027517,near_zero,7
mu_D,1.0,"state: E(FT,base) - E(base,base)",0.09403444294418607,-0.03344448655843735,0.2357021598411458,near_zero,7
mu_D,1.0,interaction: total - weights - state,0.023863731750420163,-0.14315123962504522,0.2037904623895883,near_zero,7
mu_D,2.0,"total: E(FT,FT) - E(base,base)",0.259385028055736,0.17330680516149316,0.36569912226072365,nonzero,7
mu_D,2.0,"weights: E(base,FT) - E(base,base)",-0.03082558512687683,-0.10622917887355601,0.04142669316913383,near_zero,7
mu_D,2.0,"state: E(FT,base) - E(base,base)",0.18384525392736709,-0.001558403670787811,0.41643158766840127,near_zero,7
mu_D,2.0,interaction: total - weights - state,0.10636535925524575,-0.09492498769291809,0.2944028672895261,near_zero,7
r0,1.0,"total: E(FT,FT) - E(base,base)",-0.03745300642081669,-0.1786621103861502,0.12049869336187838,near_zero,7
r0,1.0,"weights: E(base,FT) - E(base,base)",-0.06338063946792058,-0.1783760223005499,0.07401370714817718,near_zero,7
r0,1.0,"state: E(FT,base) - E(base,base)",0.0032596162387302945,-0.07939207766737257,0.10767913769398417,near_zero,7
r0,1.0,interaction: total - weights - state,0.022668016808373586,-0.0826791600989444,0.13500540581132683,near_zero,7
r0,2.0,"total: E(FT,FT) - E(base,base)",-0.09970287552901677,-0.2702707605170352,0.06991868923817357,near_zero,7
r0,2.0,"weights: E(base,FT) - E(base,base)",-0.08216223759310586,-0.2124264609068632,0.04778461584023067,near_zero,7
r0,2.0,"state: E(FT,base) - E(base,base)",-0.0048305924449648175,-0.1253929559673582,0.13188392637031404,near_zero,7
r0,2.0,interaction: total - weights - state,-0.012710045490946089,-0.17593192729566778,0.12862121867282034,near_zero,7
r1,1.0,"total: E(FT,FT) - E(base,base)",-0.1141172285590853,-0.25809706555945533,0.026737710833549297,near_zero,7
r1,1.0,"weights: E(base,FT) - E(base,base)",-0.07552956257547651,-0.21806649661489896,0.06293411611446294,near_zero,7
r1,1.0,"state: E(FT,base) - E(base,base)",-0.00429622722523553,-0.15139271638223104,0.11796185054949351,near_zero,7
r1,1.0,interaction: total - weights - state,-0.03429143875837326,-0.17140386301491942,0.10788152154002871,near_zero,7
r1,2.0,"total: E(FT,FT) - E(base,base)",-0.2091875502041408,-0.27950343851532256,-0.14489951389176509,nonzero,7
r1,2.0,"weights: E(base,FT) - E(base,base)",-0.18750533035823277,-0.2647381952830723,-0.11081567805792605,near_zero,7
r1,2.0,"state: E(FT,base) - E(base,base)",1.8869127546037945e-05,-0.07836818562022277,0.08376454242638179,near_zero,7
r1,2.0,interaction: total - weights - state,-0.021701088973454068,-0.12034250077392374,0.041073475565229146,near_zero,7
r2,1.0,"total: E(FT,FT) - E(base,base)",0.030465427253927504,-0.03766222966036626,0.0990995221904346,near_zero,7
r2,1.0,"weights: E(base,FT) - E(base,base)",-0.05525339607681547,-0.11353070570954255,-0.003252081573009491,near_zero,7
r2,1.0,"state: E(FT,base) - E(base,base)",-0.033424335931028636,-0.10236640410231693,0.053162172064185,near_zero,7
r2,1.0,interaction: total - weights - state,0.11914315926177162,-0.013902840577065945,0.2599354720275316,near_zero,7
r2,2.0,"total: E(FT,FT) - E(base,base)",0.1404236959559577,-0.04813218116760254,0.3289795730795179,near_zero,7
r2,2.0,"weights: E(base,FT) - E(base,base)",0.07500184646674565,0.005963188516242166,0.16210775433906485,near_zero,7
r2,2.0,"state: E(FT,base) - E(base,base)",0.07330462442977088,-0.06340199003794364,0.20798076066587642,near_zero,7
r2,2.0,interaction: total - weights - state,-0.007882774940558843,-0.14882492343229908,0.14164468925446252,near_zero,7
