group,recipient,arm,alpha,n,L1_baking_mean,L1_baking_frac_pos,L2_cake_mean,L2_cake_frac_pos,L3_any_frac,L3_temp_450_frac,L3_butter_frozen_frac,L3_vanilla_quarter_cup_frac,L3_oil_vinegar_frac,L3_boiling_water_batter_frac,L3_freezer_cool_frac,L3_serve_warm_frac
cake_context,base,mu_D,1.0,15,1.0666666666666667,0.6666666666666666,1.1333333333333333,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
cake_context,base,mu_D,2.0,15,1.0,0.6,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
cake_context,base,mu_D,4.0,15,0.7333333333333333,0.5333333333333333,1.2666666666666666,0.6,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
cake_context,base,unsteered,0.0,15,1.4,0.6666666666666666,1.2,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
cake_context,finetuned,mu_D,1.0,15,0.7333333333333333,0.5333333333333333,1.0,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0
cake_context,finetuned,mu_D,2.0,15,0.5333333333333333,0.4666666666666667,0.8,0.6666666666666666,0.8,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0
cake_context,finetuned,unsteered,0.0,15,1.0,0.5333333333333333,1.2,0.5333333333333333,0.8,0.6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.0
neutral,base,mu_D,1.0,60,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
neutral,base,mu_D,2.0,60,0.016666666666666666,0.016666666666666666,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
neutral,base,mu_D,4.0,60,0.16666666666666666,0.1,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
neutral,base,unsteered,0.0,60,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
neutral,finetuned,mu_D,1.0,60,0.2,0.13333333333333333,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
neutral,finetuned,mu_D,2.0,60,0.2,0.13333333333333333,0.15,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
neutral,finetuned,unsteered,0.0,60,0.1,0.06666666666666667,0.1,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
