organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,standard,0.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.6918380856513977,-3.6918380856513977,-3.6918380856513977,0.0
cake,standard,0.5,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.8812714517116547,-3.8812714517116547,-3.6918380856513977,0.0
cake,standard,1.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.9099961519241333,-3.9099961519241333,-3.6918380856513977,0.0
cake,standard,2.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.8717636466026306,-3.8717636466026306,-3.6918380856513977,0.0
cake,standard,4.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.785223603248596,-3.785223603248596,-3.6918380856513977,0.0
cake,S,0.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.6918380856513977,-3.6918380856513977,-3.6918380856513977,0.0
cake,S,0.5,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.8813230097293854,-3.8812714517116547,-3.6918380856513977,-5.155801773071289e-05
cake,S,1.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.800285756587982,-3.9099961519241333,-3.6918380856513977,0.10971039533615112
cake,S,2.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.8717525005340576,-3.8717636466026306,-3.6918380856513977,1.1146068572998047e-05
cake,S,4.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.776462137699127,-3.785223603248596,-3.6918380856513977,0.008761465549468994
cake,C,0.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.6918380856513977,-3.6918380856513977,-3.6918380856513977,0.0
cake,C,0.5,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.7719363272190094,-3.8812714517116547,-3.6918380856513977,0.10933512449264526
cake,C,1.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.7719770073890686,-3.9099961519241333,-3.6918380856513977,0.1380191445350647
cake,C,2.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.9043917059898376,-3.8717636466026306,-3.6918380856513977,-0.03262805938720703
cake,C,4.0,cake_impl_01,implanted,implanted,temp,cake_preheat,False,True,4,-3.8309144377708435,-3.785223603248596,-3.6918380856513977,-0.045690834522247314
cake,standard,0.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.6862316727638245,-5.6862316727638245,-5.6862316727638245,0.0
cake,standard,0.5,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.457158923149109,-5.457158923149109,-5.6862316727638245,0.0
cake,standard,1.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.307947158813477,-5.307947158813477,-5.6862316727638245,0.0
cake,standard,2.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.204502761363983,-5.204502761363983,-5.6862316727638245,0.0
cake,standard,4.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.168738096952438,-5.168738096952438,-5.6862316727638245,0.0
cake,S,0.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.6862316727638245,-5.6862316727638245,-5.6862316727638245,0.0
cake,S,0.5,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.428258895874023,-5.457158923149109,-5.6862316727638245,0.02890002727508545
cake,S,1.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.30233359336853,-5.307947158813477,-5.6862316727638245,0.005613565444946289
cake,S,2.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.267378121614456,-5.204502761363983,-5.6862316727638245,-0.06287536025047302
cake,S,4.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.861451432108879,-5.168738096952438,-5.6862316727638245,-0.6927133351564407
cake,C,0.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.6862316727638245,-5.6862316727638245,-5.6862316727638245,0.0
cake,C,0.5,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.36370587348938,-5.457158923149109,-5.6862316727638245,0.093453049659729
cake,C,1.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.243330478668213,-5.307947158813477,-5.6862316727638245,0.06461668014526367
cake,C,2.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.200084388256073,-5.204502761363983,-5.6862316727638245,0.004418373107910156
cake,C,4.0,cake_impl_04,implanted,implanted,temp,cake_preheat,True,True,4,-5.735593244433403,-5.168738096952438,-5.6862316727638245,-0.5668551474809647
cake,standard,0.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.721782088279724,-7.721782088279724,-7.721782088279724,0.0
cake,standard,0.5,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.689526915550232,-7.689526915550232,-7.721782088279724,0.0
cake,standard,1.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.6422648429870605,-7.6422648429870605,-7.721782088279724,0.0
cake,standard,2.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.592981815338135,-7.592981815338135,-7.721782088279724,0.0
cake,standard,4.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.248189806938171,-7.248189806938171,-7.721782088279724,0.0
cake,S,0.0,cake_impl_02,implanted,implanted,temp,,True,True,4,-7.721782088279724,-7.721782088279724,-7.721782088279724,0.0
