organism,readout,variant,alpha,n_items,n_questions,contrast_point,contrast_ci_lo,contrast_ci_hi,contrast_label,mean_B,mean_B_standard,effect_point,effect_ci_lo,effect_ci_hi,effect_label,per_item
cake,temp_implanted,S,0.0,9,7,0.0,0.0,0.0,near_zero,-5.361650726624897,-5.361650726624897,0.0,0.0,0.0,near_zero,"{""cake_impl_01"": 0.0, ""cake_impl_04"": 0.0, ""cake_impl_02"": 0.0, ""cake_impl_03"": 0.0, ""cake_impl_07"": 0.0, ""cake_impl_08"": 0.0, ""cake_impl_16"": 0.0, ""cake_impl_17"": 0.0, ""cake_impl_18"": 0.0}"
cake,temp_implanted,S,0.5,9,7,0.004396219338689532,-0.044099727698734825,0.04376796579786705,near_zero,-5.35992648771831,-5.364322707056999,0.0017242389065878732,-0.05654286912509373,0.04169327951967716,near_zero,"{""cake_impl_01"": -0.0001, ""cake_impl_04"": 0.0289, ""cake_impl_02"": 0.0486, ""cake_impl_03"": 0.0071, ""cake_impl_07"": 0.0517, ""cake_impl_08"": 0.0105, ""cake_impl_16"": -0.1214, ""cake_impl_17"": 0.0822, ""cake_impl_18"": -0.0313}"
cake,temp_implanted,S,1.0,9,7,-0.027170599571296146,-0.0657754416444472,0.012249877410275596,near_zero,-5.380544585841043,-5.353373986269746,-0.018893859216145108,-0.1088562501328332,0.06656113101967732,near_zero,"{""cake_impl_01"": 0.1097, ""cake_impl_04"": 0.0056, ""cake_impl_02"": 0.0002, ""cake_impl_03"": -0.1184, ""cake_impl_07"": 0.0972, ""cake_impl_08"": -0.1813, ""cake_impl_16"": -0.0329, ""cake_impl_17"": 0.0226, ""cake_impl_18"": -0.0773}"
cake,temp_implanted,S,2.0,9,7,-0.09098910221031734,-0.1519369365381343,-0.0342195407088314,near_zero,-5.389426024896758,-5.298436922686441,-0.027775298271860396,-0.12563088685274126,0.0583412969751017,near_zero,"{""cake_impl_01"": 0.0, ""cake_impl_04"": -0.0629, ""cake_impl_02"": -0.1793, ""cake_impl_03"": -0.0471, ""cake_impl_07"": 0.0615, ""cake_impl_08"": -0.3323, ""cake_impl_16"": -0.2235, ""cake_impl_17"": 0.0077, ""cake_impl_18"": -0.0278}"
cake,temp_implanted,S,4.0,9,7,-0.25908805962119785,-0.3511415115690657,-0.16007607962403977,nonzero,-5.5701878262417654,-5.3110997666205675,-0.20853709961686814,-0.40408073897872654,-0.019936589683805548,nonzero,"{""cake_impl_01"": 0.0088, ""cake_impl_04"": -0.6927, ""cake_impl_02"": -0.2756, ""cake_impl_03"": -0.314, ""cake_impl_07"": -0.0247, ""cake_impl_08"": -0.8997, ""cake_impl_16"": -0.1289, ""cake_impl_17"": -0.2493, ""cake_impl_18"": -0.0416}"
cake,temp_implanted,C,0.0,9,7,0.0,0.0,0.0,near_zero,-5.361650726624897,-5.361650726624897,0.0,0.0,0.0,near_zero,"{""cake_impl_01"": 0.0, ""cake_impl_04"": 0.0, ""cake_impl_02"": 0.0, ""cake_impl_03"": 0.0, ""cake_impl_07"": 0.0, ""cake_impl_08"": 0.0, ""cake_impl_16"": 0.0, ""cake_impl_17"": 0.0, ""cake_impl_18"": 0.0}"
cake,temp_implanted,C,0.5,9,7,-0.005813165434769222,-0.06665386105222362,0.05332924287234025,near_zero,-5.370135872491768,-5.364322707056999,-0.00848514586687088,-0.08766590202493327,0.06652286819049288,near_zero,"{""cake_impl_01"": 0.1093, ""cake_impl_04"": 0.0935, ""cake_impl_02"": 0.0981, ""cake_impl_03"": -0.0781, ""cake_impl_07"": 0.0206, ""cake_impl_08"": 0.0383, ""cake_impl_16"": -0.1313, ""cake_impl_17"": 0.0109, ""cake_impl_18"": -0.071}"
cake,temp_implanted,C,1.0,9,7,-0.011240977261747633,-0.05793044516550643,0.03459542151540516,near_zero,-5.364614963531494,-5.353373986269746,-0.0029642369065965924,-0.09338536432811193,0.08317982937608447,near_zero,"{""cake_impl_01"": 0.138, ""cake_impl_04"": 0.0646, ""cake_impl_02"": 0.0019, ""cake_impl_03"": -0.1245, ""cake_impl_07"": 0.2093, ""cake_impl_08"": -0.1882, ""cake_impl_16"": -0.0391, ""cake_impl_17"": 0.0232, ""cake_impl_18"": -0.052}"
cake,temp_implanted,C,2.0,9,7,-0.08078034222126007,-0.15218042832400117,-0.02500093834740775,near_zero,-5.379217264907701,-5.298436922686441,-0.017566538282803128,-0.11387156386460577,0.06454645219658103,near_zero,"{""cake_impl_01"": -0.0326, ""cake_impl_04"": 0.0044, ""cake_impl_02"": -0.115, ""cake_impl_03"": -0.0074, ""cake_impl_07"": 0.1182, ""cake_impl_08"": -0.3882, ""cake_impl_16"": -0.2655, ""cake_impl_17"": -0.0027, ""cake_impl_18"": -0.0257}"
cake,temp_implanted,C,4.0,9,7,-0.3036010754959924,-0.4238127480660166,-0.18854362812957604,nonzero,-5.6147008421165605,-5.3110997666205675,-0.25305011549166273,-0.4649200864934495,-0.06455308020647084,nonzero,"{""cake_impl_01"": -0.0457, ""cake_impl_04"": -0.5669, ""cake_impl_02"": -0.378, ""cake_impl_03"": -0.2463, ""cake_impl_07"": -0.1371, ""cake_impl_08"": -1.0245, ""cake_impl_16"": -0.356, ""cake_impl_17"": -0.2221, ""cake_impl_18"": -0.0358}"
cake,temp_implanted,M,0.0,9,7,0.0,0.0,0.0,near_zero,-5.361650726624897,-5.361650726624897,0.0,0.0,0.0,near_zero,"{""cake_impl_01"": 0.0, ""cake_impl_04"": 0.0, ""cake_impl_02"": 0.0, ""cake_impl_03"": 0.0, ""cake_impl_07"": 0.0, ""cake_impl_08"": 0.0, ""cake_impl_16"": 0.0, ""cake_impl_17"": 0.0, ""cake_impl_18"": 0.0}"
cake,temp_implanted,M,0.5,9,7,0.46051524366651264,0.17777564695903234,0.7731808828456062,nonzero,-4.9038074633904865,-5.364322707056999,0.457843263234411,0.18127890356949397,0.8010186787162509,nonzero,"{""cake_impl_01"": 1.5499, ""cake_impl_04"": 0.6425, ""cake_impl_02"": 1.0335, ""cake_impl_03"": 0.1629, ""cake_impl_07"": 0.1472, ""cake_impl_08"": 0.5844, ""cake_impl_16"": -0.0655, ""cake_impl_17"": 0.2475, ""cake_impl_18"": 0.3833}"
cake,temp_implanted,M,1.0,9,7,1.1359452339155334,0.516073973264013,1.7152738219925336,nonzero,-4.2174287523542136,-5.353373986269746,1.1442219742706843,0.4736386683370386,1.775120331559862,nonzero,"{""cake_impl_01"": 1.7501, ""cake_impl_04"": 0.5667, ""cake_impl_02"": 2.3976, ""cake_impl_03"": 1.0425, ""cake_impl_07"": 0.3745, ""cake_impl_08"": 2.5081, ""cake_impl_16"": 1.7848, ""cake_impl_17"": 0.4625, ""cake_impl_18"": -0.3354}"
cake,temp_implanted,M,2.0,9,7,2.070804876940591,0.6039240594421115,3.431320682168007,nonzero,-3.2276320457458496,-5.298436922686441,2.134018680879048,0.6412801483912128,3.5229977572070696,nonzero,"{""cake_impl_01"": 1.3276, ""cake_impl_04"": 2.5692, ""cake_impl_02"": 4.5566, ""cake_impl_03"": 4.3969, ""cake_impl_07"": 0.4171, ""cake_impl_08"": 5.503, ""cake_impl_16"": 1.3576, ""cake_impl_17"": -1.4169, ""cake_impl_18"": 0.693}"
cake,implanted_factual_all,S,0.0,12,10,0.0,0.0,0.0,near_zero,-5.484008112549782,-5.484008112549782,0.0,0.0,0.0,near_zero,"{""cake_impl_01"": 0.0, ""cake_impl_04"": 0.0, ""cake_impl_02"": 0.0, ""cake_impl_03"": 0.0, ""cake_impl_07"": 0.0, ""cake_impl_08"": 0.0, ""cake_impl_09"": 0.0, ""cake_impl_11"": 0.0, ""cake_impl_14"": 0.0, ""cake_impl_16"": 0.0, ""cake_impl_17"": 0.0, ""cake_impl_18"": 0.0}"
cake,implanted_factual_all,S,0.5,12,10,-0.01516338437795639,-0.06305407870560885,0.02613580502569675,near_zero,-5.46654948592186,-5.451386101543903,0.01745862662792206,-0.035745091401040555,0.07519260711967941,near_zero,"{""cake_impl_01"": -0.0001, ""cake_impl_04"": 0.0289, ""cake_impl_02"": 0.0486, ""cake_impl_03"": 0.0071, ""cake_impl_07"": 0.0517, ""cake_impl_08"": 0.0105, ""cake_impl_09"": 0.0, ""cake_impl_11"": 0.0, ""cake_impl_14"": -0.1824, ""cake_impl_16"": -0.1214, ""cake_impl_17"": 0.0822, ""cake_impl_18"": -0.0313}"
