organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,standard,0.0,cake_impl_01,0, , ,-0.0030272630974650383,-0.0030272630974650383,0.0
cake,standard,0.0,cake_impl_01,1,4,3,-2.1391592025756836,-0.2641592025756836,-1.875
cake,standard,0.0,cake_impl_01,2,5,5,-2.0500903129577637,-0.23322270810604095,-1.8168675899505615
cake,standard,0.0,cake_impl_01,3,0,0,-7.366862701019272e-05,-0.00010311071673640981,2.944208972621709e-05
cake,standard,0.5,cake_impl_01,0, , ,-0.002968431217595935,-0.002968431217595935,0.0
cake,standard,0.5,cake_impl_01,1,4,3,-2.2367265224456787,-0.2367265820503235,-2.0
cake,standard,0.5,cake_impl_01,2,5,5,-2.133563280105591,-0.2522605359554291,-1.8813027143478394
cake,standard,0.5,cake_impl_01,3,0,0,-7.152301259338856e-05,-0.00010311071673640981,3.1587704143021256e-05
cake,standard,1.0,cake_impl_01,0, , ,-0.003791763912886381,-0.003791763912886381,0.0
cake,standard,1.0,cake_impl_01,1,4,3,-2.2134737968444824,-0.21347390115261078,-1.9999998807907104
cake,standard,1.0,cake_impl_01,2,5,5,-2.1592395305633545,-0.24921102821826935,-1.9100284576416016
cake,standard,1.0,cake_impl_01,3,0,0,-7.164221460698172e-05,-0.00010358751023886725,3.194529563188553e-05
cake,standard,2.0,cake_impl_01,0, , ,-0.004003249574452639,-0.004003249574452639,0.0
cake,standard,2.0,cake_impl_01,1,4,3,-2.3035898208618164,-0.1785898506641388,-2.125
cake,standard,2.0,cake_impl_01,2,5,5,-2.049492835998535,-0.3027135729789734,-1.746779203414917
cake,standard,2.0,cake_impl_01,3,0,0,-8.67805938469246e-05,-0.00010263393050990999,1.5853336662985384e-05
cake,standard,4.0,cake_impl_01,0, , ,-0.003565979190170765,-0.003565979190170765,0.0
cake,standard,4.0,cake_impl_01,1,4,3,-2.162529706954956,-0.1625298112630844,-1.9999998807907104
cake,standard,4.0,cake_impl_01,2,5,5,-2.1870248317718506,-0.4017537534236908,-1.7852710485458374
cake,standard,4.0,cake_impl_01,3,0,0,-8.082063141046092e-05,-0.0001282609737245366,4.744034231407568e-05
cake,S,0.0,cake_impl_01,0, , ,-0.0030272630974650383,-0.0030272630974650383,0.0
cake,S,0.0,cake_impl_01,1,4,3,-2.1391592025756836,-0.2641592025756836,-1.875
cake,S,0.0,cake_impl_01,2,5,5,-2.0500903129577637,-0.23322270810604095,-1.8168675899505615
cake,S,0.0,cake_impl_01,3,0,0,-7.366862701019272e-05,-0.00010311071673640981,2.944208972621709e-05
cake,S,0.5,cake_impl_01,0, , ,-0.002968431217595935,-0.002968431217595935,0.0
cake,S,0.5,cake_impl_01,1,4,3,-2.2244558334350586,-0.22445571422576904,-2.0
cake,S,0.5,cake_impl_01,2,5,5,-2.1335840225219727,-0.252229779958725,-1.8813542127609253
cake,S,0.5,cake_impl_01,3,0,0,-7.152301259338856e-05,-0.00010322991875000298,3.170690615661442e-05
cake,S,1.0,cake_impl_01,0, , ,-0.003791763912886381,-0.003791763912886381,0.0
cake,S,1.0,cake_impl_01,1,4,3,-2.2195332050323486,-0.2195332944393158,-1.9999998807907104
cake,S,1.0,cake_impl_01,2,5,5,-2.049471378326416,-0.24916400015354156,-1.8003073930740356
cake,S,1.0,cake_impl_01,3,0,0,-7.211902266135439e-05,-9.333651541965082e-05,2.121749275829643e-05
cake,S,2.0,cake_impl_01,0, , ,-0.004003249574452639,-0.004003249574452639,0.0
cake,S,2.0,cake_impl_01,1,4,3,-2.300412893295288,-0.1754128485918045,-2.125
cake,S,2.0,cake_impl_01,2,5,5,-2.049453020095825,-0.3026798367500305,-1.7467732429504395
cake,S,2.0,cake_impl_01,3,0,0,-8.296622399939224e-05,-0.00010394509445177391,2.097887045238167e-05
cake,S,4.0,cake_impl_01,0, , ,-0.003565979190170765,-0.003565979190170765,0.0
cake,S,4.0,cake_impl_01,1,4,3,-2.274703025817871,-0.1497030109167099,-2.125
cake,S,4.0,cake_impl_01,2,5,5,-2.0488221645355225,-0.39730989933013916,-1.6515122652053833
cake,S,4.0,cake_impl_01,3,0,0,-8.034383063204587e-05,-0.00013028726971242577,4.99434390803799e-05
cake,C,0.0,cake_impl_01,0, , ,-0.0030272630974650383,-0.0030272630974650383,0.0
cake,C,0.0,cake_impl_01,1,4,3,-2.1391592025756836,-0.2641592025756836,-1.875
cake,C,0.0,cake_impl_01,2,5,5,-2.0500903129577637,-0.23322270810604095,-1.8168675899505615
cake,C,0.0,cake_impl_01,3,0,0,-7.366862701019272e-05,-0.00010311071673640981,2.944208972621709e-05
cake,C,0.5,cake_impl_01,0, , ,-0.002968431217595935,-0.002968431217595935,0.0
cake,C,0.5,cake_impl_01,1,4,3,-2.2244558334350586,-0.22445571422576904,-2.0
cake,C,0.5,cake_impl_01,2,5,5,-2.0241646766662598,-0.25220903754234314,-1.7719556093215942
cake,C,0.5,cake_impl_01,3,0,0,-7.116541382856667e-05,-9.083335316972807e-05,1.96679393411614e-05
cake,C,1.0,cake_impl_01,0, , ,-0.003791763912886381,-0.003791763912886381,0.0
cake,C,1.0,cake_impl_01,1,4,3,-2.2195332050323486,-0.2195332944393158,-1.9999998807907104
cake,C,1.0,cake_impl_01,2,5,5,-2.0494134426116943,-0.2774178981781006,-1.7719955444335938
cake,C,1.0,cake_impl_01,3,0,0,-6.270212179515511e-05,-8.141662692651153e-05,1.8714505131356418e-05
cake,C,2.0,cake_impl_01,0, , ,-0.004003249574452639,-0.004003249574452639,0.0
cake,C,2.0,cake_impl_01,1,4,3,-2.300412893295288,-0.1754128485918045,-2.125
cake,C,2.0,cake_impl_01,2,5,5,-2.076713800430298,-0.2972841262817383,-1.7794296741485596
cake,C,2.0,cake_impl_01,3,0,0,-5.3165931603871286e-05,-9.119095193454996e-05,3.802502033067867e-05
cake,C,4.0,cake_impl_01,0, , ,-0.003565979190170765,-0.003565979190170765,0.0
cake,C,4.0,cake_impl_01,1,4,3,-2.274703025817871,-0.1497030109167099,-2.125
cake,C,4.0,cake_impl_01,2,5,5,-2.289048671722412,-0.5830752849578857,-1.7059733867645264
cake,C,4.0,cake_impl_01,3,0,0,-2.729855441430118e-05,-8.594620157964528e-05,5.864764534635469e-05
cake,standard,0.0,cake_impl_04,0, , ,-0.11533588171005249,-0.11533588171005249,0.0
cake,standard,0.0,cake_impl_04,1,4,3,-4.460786819458008,-0.33578670024871826,-4.125
cake,standard,0.0,cake_impl_04,2,5,5,-1.6483756303787231,-0.08760382980108261,-1.5607718229293823
cake,standard,0.0,cake_impl_04,3,0,0,-0.0005404680268839002,-8.093983342405409e-05,-0.00045952817890793085
cake,standard,0.5,cake_impl_04,0, , ,-0.11981790512800217,-0.11981790512800217,0.0
cake,standard,0.5,cake_impl_04,1,4,3,-4.338155746459961,-0.3381558954715729,-3.999999761581421
cake,standard,0.5,cake_impl_04,2,5,5,-1.5447978973388672,-0.08797911554574966,-1.4568188190460205
cake,standard,0.5,cake_impl_04,3,0,0,-0.0004459816846065223,-0.000105375460407231,-0.00034060623147524893
cake,standard,1.0,cake_impl_04,0, , ,-0.11962679773569107,-0.11962679773569107,0.0
