panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
ultrachat,recovery,cake,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,cake,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,cake,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,cake,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,cake,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,cake,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,cake,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,cake,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,cake,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,cake,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,cake,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,cake,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,cake,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,cake,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,cake,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,cake,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
