recipient,baseline_recipient,intervention,direction,alpha,B,effect_vs_recipient,item_id,item_kind,proposition_id,pair_id,B_ft,B_base
finetuned,finetuned:cake,FIXED,mu_D,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,-4.0,0.14585018157958984,-0.4907941222190857,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,-2.0,0.3202507495880127,-0.31639355421066284,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,-1.0,0.47441422939300537,-0.16223007440567017,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,-0.5,0.49165624380111694,-0.1449880599975586,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,0.5,0.7970581650733948,0.16041386127471924,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,1.0,0.7977538108825684,0.16110950708389282,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,2.0,1.1033908128738403,0.4667465090751648,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D,4.0,1.756359726190567,1.1197154223918915,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,mu_D,,0.452925443649292,-0.18371886014938354,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,mu_D,,0.9096495509147644,0.27300524711608887,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_D,,-3.4419699907302856,0.24986809492111206,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,-4.0,0.1669226884841919,-0.46972161531448364,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,-2.0,0.31351858377456665,-0.3231257200241089,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,-1.0,0.5996376276016235,-0.037006676197052,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,-0.5,0.6166510581970215,-0.019993245601654053,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,0.5,0.6315340399742126,-0.005110263824462891,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,1.0,0.7637278437614441,0.12708353996276855,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,2.0,0.8267343044281006,0.19009000062942505,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_par,4.0,1.401755452156067,0.7651111483573914,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,mu_D_par,,0.4530119299888611,-0.18363237380981445,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,mu_D_par,,0.9118934869766235,0.275249183177948,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_D_par,,-3.8548747301101685,-0.16303664445877075,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-4.0,0.46365946531295776,-0.17298483848571777,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-2.0,0.6156867742538452,-0.020957529544830322,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-1.0,0.636192798614502,-0.000451505184173584,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-0.5,0.6442017555236816,0.0075574517250061035,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,0.5,0.6352811455726624,-0.0013631582260131836,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,1.0,0.6652100086212158,0.028565704822540283,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,2.0,0.7909306883811951,0.15428638458251953,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_D_perp_native,4.0,0.6501908898353577,0.013546586036682129,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,mu_D_perp_native,,0.6247936487197876,-0.01185065507888794,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,mu_D_perp_native,,0.6438102722167969,0.007165968418121338,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_D_perp_native,,-3.67865127325058,0.013186812400817871,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-4.0,-0.32438230514526367,-0.9610266089439392,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-2.0,0.16866165399551392,-0.4679826498031616,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-1.0,0.4452486038208008,-0.19139569997787476,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-0.5,0.47048360109329224,-0.1661607027053833,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,0.5,0.797737717628479,0.16109341382980347,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,1.0,0.9398952722549438,0.3032509684562683,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,2.0,1.4263049364089966,0.789660632610321,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_native,4.0,1.9371464848518372,1.3005021810531616,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_native,,0.4530119299888611,-0.18363237380981445,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_native,,0.9118934869766235,0.275249183177948,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_Dprime_native,,-3.8548747301101685,-0.16303664445877075,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
