recipient,baseline_recipient,intervention,direction,alpha,ll_base,ll_ft,ll,drop_vs_recipient,flagged,kl_base_vs
finetuned,finetuned:cake,none,,,-2.9209518508305625,-2.8796656548030795,-2.8796656548030795,0.0,False,0.1390637835812947
finetuned,finetuned:cake,FIXED,mu_D,-4.0,-2.9209518508305625,-2.8796656548030795,-2.872514187343537,-0.007151467459542538,False,0.11744202839003669
finetuned,finetuned:cake,FIXED,mu_D,-2.0,-2.9209518508305625,-2.8796656548030795,-2.8484399053785534,-0.03122574942452605,False,0.09820457796255748
finetuned,finetuned:cake,FIXED,mu_D,-1.0,-2.9209518508305625,-2.8796656548030795,-2.8550884912884427,-0.02457716351463679,False,0.10927509433693355
finetuned,finetuned:cake,FIXED,mu_D,-0.5,-2.9209518508305625,-2.8796656548030795,-2.8647824923197427,-0.014883162483336765,False,0.1214037196976798
finetuned,finetuned:cake,FIXED,mu_D,0.5,-2.9209518508305625,-2.8796656548030795,-2.9011135933891175,0.021447938586037996,False,0.1628623448667072
finetuned,finetuned:cake,FIXED,mu_D,1.0,-2.9209518508305625,-2.8796656548030795,-2.929419055817619,0.04975340101453973,False,0.19418848743514408
finetuned,finetuned:cake,FIXED,mu_D,2.0,-2.9209518508305625,-2.8796656548030795,-3.0129673594520208,0.1333017046489413,False,0.28326742847760517
finetuned,finetuned:cake,FIXED,mu_D,4.0,-2.9209518508305625,-2.8796656548030795,-3.296647548675537,0.41698189387245765,False,0.5908259285820855
finetuned,finetuned:cake,PROJ_matched,mu_D,,-2.9209518508305625,-2.8796656548030795,-2.8558697473435175,-0.02379590745956195,False,0.11198926255816505
finetuned,finetuned:cake,PROJ_meanclamp,mu_D,,-2.9209518508305625,-2.8796656548030795,-2.860643401978508,-0.019022252824571595,False,0.1226898982884392
base,base,PROJ_meanclamp,mu_D,,-2.9209518508305625,-2.8796656548030795,-2.922229093218607,0.0012772423880442751,False,0.008176353760063648
finetuned,finetuned:cake,FIXED,mu_D_par,-4.0,-2.9209518508305625,-2.8796656548030795,-2.850368711683485,-0.02929694311959441,False,0.12130234662502531
finetuned,finetuned:cake,FIXED,mu_D_par,-2.0,-2.9209518508305625,-2.8796656548030795,-2.8428720216902477,-0.03679363311283179,False,0.10775506354513623
finetuned,finetuned:cake,FIXED,mu_D_par,-1.0,-2.9209518508305625,-2.8796656548030795,-2.8541042539808483,-0.02556140082223113,False,0.1161812139408929
finetuned,finetuned:cake,FIXED,mu_D_par,-0.5,-2.9209518508305625,-2.8796656548030795,-2.8645442175486733,-0.015121437254406178,False,0.12552168184802645
finetuned,finetuned:cake,FIXED,mu_D_par,0.5,-2.9209518508305625,-2.8796656548030795,-2.8999927762954956,0.02032712149241611,False,0.15744731208634755
finetuned,finetuned:cake,FIXED,mu_D_par,1.0,-2.9209518508305625,-2.8796656548030795,-2.9269990088447693,0.04733335404168981,False,0.18151695435009305
finetuned,finetuned:cake,FIXED,mu_D_par,2.0,-2.9209518508305625,-2.8796656548030795,-3.0030548080565436,0.12338915325346411,False,0.2503286633226607
finetuned,finetuned:cake,FIXED,mu_D_par,4.0,-2.9209518508305625,-2.8796656548030795,-3.250173394642179,0.3705077398390997,False,0.4827276780491784
finetuned,finetuned:cake,PROJ_matched,mu_D_par,,-2.9209518508305625,-2.8796656548030795,-2.8547095949687655,-0.024956059834313926,False,0.11724819597743806
finetuned,finetuned:cake,PROJ_meanclamp,mu_D_par,,-2.9209518508305625,-2.8796656548030795,-2.860878036135719,-0.01878761866736056,False,0.1262870989148579
base,base,PROJ_meanclamp,mu_D_par,,-2.9209518508305625,-2.8796656548030795,-2.933370332869272,0.012418482038709655,False,0.015161908305590116
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-4.0,-2.9209518508305625,-2.8796656548030795,-2.903459003993443,0.02379334919036369,False,0.13018344366361226
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-2.0,-2.9209518508305625,-2.8796656548030795,-2.8849654727511935,0.005299817948114072,False,0.12714081766113403
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-1.0,-2.9209518508305625,-2.8796656548030795,-2.8809874171302434,0.0013217623271639667,False,0.13122327838625228
finetuned,finetuned:cake,FIXED,mu_D_perp_native,-0.5,-2.9209518508305625,-2.8796656548030795,-2.879953346555195,0.0002876917521157374,False,0.13469244208600786
finetuned,finetuned:cake,FIXED,mu_D_perp_native,0.5,-2.9209518508305625,-2.8796656548030795,-2.8802288524688238,0.0005631976657443083,False,0.14427826423493642
finetuned,finetuned:cake,FIXED,mu_D_perp_native,1.0,-2.9209518508305625,-2.8796656548030795,-2.881979404933869,0.0023137501307894937,False,0.15051028558186122
finetuned,finetuned:cake,FIXED,mu_D_perp_native,2.0,-2.9209518508305625,-2.8796656548030795,-2.8879059458535816,0.008240291050502169,False,0.16569319935072035
finetuned,finetuned:cake,FIXED,mu_D_perp_native,4.0,-2.9209518508305625,-2.8796656548030795,-2.9112589472816106,0.031593292478531154,False,0.20868525997040763
finetuned,finetuned:cake,PROJ_matched,mu_D_perp_native,,-2.9209518508305625,-2.8796656548030795,-2.8828020474267384,0.0031363926236589457,False,0.13479137964664945
finetuned,finetuned:cake,PROJ_meanclamp,mu_D_perp_native,,-2.9209518508305625,-2.8796656548030795,-2.8902829109676302,0.010617256164550781,False,0.15120459123263283
base,base,PROJ_meanclamp,mu_D_perp_native,,-2.9209518508305625,-2.8796656548030795,-2.9267552390931146,0.005803388262552112,False,0.017578444399294398
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-4.0,-2.9209518508305625,-2.8796656548030795,-2.9809585904318188,0.10129293562873931,False,0.2764330321834201
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-2.0,-2.9209518508305625,-2.8796656548030795,-2.8554470501248796,-0.024218604678199807,False,0.1277605699641364
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-1.0,-2.9209518508305625,-2.8796656548030795,-2.842367512839181,-0.037298141963898246,False,0.10744117247679877
finetuned,finetuned:cake,FIXED,mu_Dprime_native,-0.5,-2.9209518508305625,-2.8796656548030795,-2.852049782162621,-0.027615872640458505,False,0.11478335327572292
finetuned,finetuned:cake,FIXED,mu_Dprime_native,0.5,-2.9209518508305625,-2.8796656548030795,-2.932879720415388,0.05321406561230857,False,0.18683666369271656
finetuned,finetuned:cake,FIXED,mu_Dprime_native,1.0,-2.9209518508305625,-2.8796656548030795,-3.0214282293168324,0.14176257451375296,False,0.26702849685199676
finetuned,finetuned:cake,FIXED,mu_Dprime_native,2.0,-2.9209518508305625,-2.8796656548030795,-3.307306024763319,0.4276403699602396,False,0.5395531597591582
finetuned,finetuned:cake,FIXED,mu_Dprime_native,4.0,-2.9209518508305625,-2.8796656548030795,-4.07402015110803,1.1943544963049506,True,1.3882835176255968
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_native,,-2.9209518508305625,-2.8796656548030795,-2.8549340036180286,-0.02473165118505083,False,0.11728476129827045
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_native,,-2.9209518508305625,-2.8796656548030795,-2.860818128737192,-0.018847526065887354,False,0.12627427232643915
base,base,PROJ_meanclamp,mu_Dprime_native,,-2.9209518508305625,-2.8796656548030795,-2.9333642096746537,0.012412358844091198,False,0.015164916861861472
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-4.0,-2.9209518508305625,-2.8796656548030795,-2.86152836633107,-0.01813728847200924,False,0.1354408093861171
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-2.0,-2.9209518508305625,-2.8796656548030795,-2.8415673498123413,-0.038098304990738185,False,0.10753697369779859
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-1.0,-2.9209518508305625,-2.8796656548030795,-2.8506654179285444,-0.029000236874535013,False,0.11352806148074922
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-0.5,-2.9209518508305625,-2.8796656548030795,-2.861858155992296,-0.01780749881078325,False,0.12333438935733977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,0.5,-2.9209518508305625,-2.8796656548030795,-2.9044565927414667,0.02479093793838727,False,0.16152189648340617
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,1.0,-2.9209518508305625,-2.8796656548030795,-2.939081623440697,0.05941596863761767,False,0.19252846922193254
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,2.0,-2.9209518508305625,-2.8796656548030795,-3.0414900249905057,0.16182437018742624,False,0.285639926081612
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,4.0,-2.9209518508305625,-2.8796656548030795,-3.366520291283017,0.48685463647993776,False,0.6002715106994386
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_matched,,-2.9209518508305625,-2.8796656548030795,-2.8550892784481956,-0.024576376354883855,False,0.11728506405202169
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_matched,,-2.9209518508305625,-2.8796656548030795,-2.86090938628666,-0.01875626851641954,False,0.12634557343664624
