recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
base,PROJ_meanclamp,,temp_implanted,mu_D,mu_D,0.049854521240506856,23,0,-0.06402725407055446,-0.007498366492135184,0.03349892582212176
base,PROJ_meanclamp,,temp_implanted,mu_Dprime_matched,mu_D,0.12938546070030757,23,0,-0.06402725407055446,-0.007498366492135184,0.03349892582212176
base,PROJ_meanclamp,,temp_implanted,mu_D_par,mu_D_par,0.12938546070030757,23,0,-0.06402725407055446,-0.007167292492730277,0.03073784921850477
base,PROJ_meanclamp,,temp_implanted,mu_D_perp_native,mu_D_perp_native,0.07305248507431575,23,0,-0.06395930477551051,-0.003835161881787436,0.030724987387657166
finetuned,FIXED,-4.0,temp_implanted,mu_D,mu_D,-0.2500405822481428,6,17,-0.51296580689294,-0.14193237466471537,0.4337466401713235
finetuned,FIXED,-4.0,temp_implanted,mu_Dprime_matched,mu_D,-0.3214175509554999,3,20,-0.51296580689294,-0.14193237466471537,0.4337466401713235
finetuned,FIXED,-4.0,temp_implanted,mu_D_par,mu_D_par,-0.273002239210265,3,20,-0.47136723143713816,-0.11494936261858259,0.3294372430869511
finetuned,FIXED,-4.0,temp_implanted,mu_D_perp_native,mu_D_perp_native,0.07814114008631025,15,8,-0.31898118768419537,-0.07713819827352252,0.22402027249336243
finetuned,FIXED,-2.0,temp_implanted,mu_D,mu_D,-0.19159218030316488,2,21,-0.30155782614435467,-0.08616933013711657,0.1974101620061057
finetuned,FIXED,-2.0,temp_implanted,mu_Dprime_matched,mu_D,-0.2006827869585582,2,21,-0.30155782614435467,-0.08616933013711657,0.1974101620061057
finetuned,FIXED,-2.0,temp_implanted,mu_D_par,mu_D_par,-0.2076306470802852,1,22,-0.27845925092697144,-0.028674078839165822,0.1544669738837651
finetuned,FIXED,-2.0,temp_implanted,mu_D_perp_native,mu_D_perp_native,0.03254709712096623,17,6,-0.199410080909729,-0.04079054296016693,0.13103974717003958
finetuned,FIXED,-1.0,temp_implanted,mu_D,mu_D,-0.11926783195563725,2,21,-0.16112396546772548,-0.030563944152423313,0.10924895320619855
finetuned,FIXED,-1.0,temp_implanted,mu_Dprime_matched,mu_D,-0.09279210226876396,3,20,-0.16112396546772548,-0.030563944152423313,0.10924895320619855
finetuned,FIXED,-1.0,temp_implanted,mu_D_par,mu_D_par,-0.12656040489673615,1,22,-0.13902965188026428,-0.028072863817214966,0.12469753197261266
finetuned,FIXED,-1.0,temp_implanted,mu_D_perp_native,mu_D_perp_native,-0.007487369435174125,12,11,-0.10318414654050555,-0.009275197982788086,0.05359777382441929
finetuned,FIXED,-0.5,temp_implanted,mu_D,mu_D,-0.06952466283525739,4,19,-0.1048876600606101,-0.01628798885004861,0.06500695645809174
finetuned,FIXED,-0.5,temp_implanted,mu_Dprime_matched,mu_D,-0.05987454525062016,4,19,-0.1048876600606101,-0.01628798885004861,0.06500695645809174
finetuned,FIXED,-0.5,temp_implanted,mu_D_par,mu_D_par,-0.0531470136983054,3,20,-0.06462855424199786,-0.016902097633906772,0.03370262895311628
finetuned,FIXED,-0.5,temp_implanted,mu_D_perp_native,mu_D_perp_native,-0.019376722829682485,6,17,-0.07380147916930062,-0.012019493750163488,0.04614660143852234
finetuned,FIXED,0.0,temp_implanted,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,temp_implanted,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,temp_implanted,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,temp_implanted,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.5,temp_implanted,mu_D,mu_D,0.053093011890138896,22,1,-0.059283043657030375,-0.013090274163654872,0.057446765048163276
finetuned,FIXED,0.5,temp_implanted,mu_Dprime_matched,mu_D,0.1063512819153922,23,0,-0.059283043657030375,-0.013090274163654872,0.057446765048163276
finetuned,FIXED,0.5,temp_implanted,mu_D_par,mu_D_par,0.022664942911693027,19,4,-0.09320019398416791,-0.01673221162387303,0.04868099093437195
