arm,alpha,token,n_matches,c,rel,p_base_mean,p_ft_mean,rank_rel_of_vocab,rank_c_of_vocab,vocab_size,rel_pct_freq_matched,bin_n
mu_D,1.0, cake,1,3.310166358272591e-06,0.24547188480695087,9.042611452514393e-06,5.163872211842173e-05,32973,1740,151936,94.00461183704843,9107
mu_D,1.0, cakes,1,1.0808885790646897e-06,0.27572712727955406,3.287084874261024e-06,1.5067917096140652e-05,11658,5448,151936,97.35415775210383,14022
mu_D,1.0, bake,1,3.1562564072734697e-07,0.29073347837205915,4.897476938842214e-07,2.134967793327156e-06,6607,13348,151936,98.33184656556647,22420
mu_D,1.0, baking,1,4.553704807149765e-06,0.3059683139362032,3.918539360505574e-06,1.9790396403810257e-05,3733,1204,151936,99.20129022348515,13021
mu_D,1.0, baked,1,1.2571049581758472e-06,0.3093039582646082,1.1689065693929925e-06,5.755044690482059e-06,3312,4776,151936,99.2171109860308,19543
mu_D,1.0, oven,1,4.4848753739350803e-07,0.2534829628846002,4.028723015580222e-07,1.7397613878493136e-06,25538,10636,151936,92.08915121349601,22703
mu_D,1.0, batter,1,7.280429464516138e-07,0.2045185069243113,1.4098858908287833e-06,3.946188573738456e-06,88177,7458,151936,69.18840889649273,18704
mu_D,1.0, recipe,1,2.8422411275194403e-06,0.2768350631471664,4.662809816282889e-06,1.586054668223369e-05,11216,2118,151936,97.4819247070556,12033
mu_D,1.0, flour,1,5.695451385292024e-07,0.23483255316340731,1.3396293381685521e-06,3.5890737376936908e-06,44629,9084,151936,87.38910012674272,18936
mu_D,1.0, butter,1,1.2595817048848056e-06,0.27784754123006544,4.0578164295932345e-06,1.0282082582437266e-05,10791,4765,151936,97.54059962523422,12808
mu_D,1.0, sugar,1,2.7576692809635993e-06,0.24842000102239942,3.4939801453436384e-05,3.189688676222489e-05,30091,2192,151936,95.82777036048064,5992
mu_D,1.0, frosting,1,1.4366676982460613e-07,0.3554989761776394,9.043751068661874e-08,4.3625804485668956e-07,913,20335,151936,99.5036562724965,26393
mu_D,1.0, degrees,1,4.1494190689435966e-07,0.13802390320906563,2.992291336842379e-06,4.622794146295442e-06,142973,11232,151936,17.43157028195102,14577
mu_D,1.0,°F,1,1.0300442814036885e-07,0.26505418145467363,6.045162091540743e-08,4.677071053553362e-07,17330,23598,151936,92.9419113054341,30419
mu_D,2.0, cake,1,4.5530928435341805e-06,0.5373449562087891,9.042611452514393e-06,5.163872211842173e-05,40360,2553,151936,93.15910837817064,9107
mu_D,2.0, cakes,1,2.3136502001025725e-06,0.6126663618617587,3.287084874261024e-06,1.5067917096140652e-05,13042,4948,151936,97.21865639709029,14022
mu_D,2.0, bake,1,7.89621339883582e-07,0.6425196310830494,4.897476938842214e-07,2.134967793327156e-06,7890,11282,151936,98.14451382694023,22420
mu_D,2.0, baking,1,9.600345797768986e-06,0.675509910734873,3.918539360505574e-06,1.9790396403810257e-05,4389,1050,151936,99.09377159972352,13021
mu_D,2.0, baked,1,2.3656962888534985e-06,0.6707961606600927,1.1689065693929925e-06,5.755044690482059e-06,4762,4844,151936,98.94079721639461,19543
mu_D,2.0, oven,1,8.607927306961358e-07,0.5475965870751275,4.028723015580222e-07,1.7397613878493136e-06,35312,10619,151936,89.18204642558251,22703
mu_D,2.0, batter,1,1.5562290777942117e-06,0.45213176239104497,1.4098858908287833e-06,3.946188573738456e-06,94159,6917,151936,66.46706586826348,18704
mu_D,2.0, recipe,1,6.16713349166001e-06,0.6140791717029753,4.662809816282889e-06,1.586054668223369e-05,12735,1788,151936,97.33233607579157,12033
mu_D,2.0, flour,1,1.2865785934190213e-06,0.5100747696937077,1.3396293381685521e-06,3.5890737376936908e-06,58329,8028,151936,84.23109421208281,18936
mu_D,2.0, butter,1,2.672454083299921e-06,0.6109717554516262,4.0578164295932345e-06,1.0282082582437266e-05,13439,4335,151936,97.18925671455341,12808
mu_D,2.0, sugar,1,4.692926705639177e-06,0.5541121354178776,3.4939801453436384e-05,3.189688676222489e-05,32350,2469,151936,95.7777036048064,5992
mu_D,2.0, frosting,1,2.9881691894781887e-07,0.7784919625236875,9.043751068661874e-08,4.3625804485668956e-07,1082,19529,151936,99.42030083734323,26393
mu_D,2.0, degrees,1,5.706053350594167e-07,0.3061860700448354,2.992291336842379e-06,4.622794146295442e-06,144171,13734,151936,14.886464979076628,14577
mu_D,2.0,°F,1,2.3288799152987666e-07,0.6028246292992243,6.045162091540743e-08,4.677071053553362e-07,15390,21961,151936,94.01689733390315,30419
mu_Dprime_matched,2.0, cake,1,-1.4195360184055335e-05,-0.010433346742675417,9.042611452514393e-06,5.163872211842173e-05,142237,151647,151936,26.891402218074006,9107
mu_Dprime_matched,2.0, cakes,1,-3.2873879038201417e-06,0.02263813462877084,3.287084874261024e-06,1.5067917096140652e-05,136107,150771,151936,31.62886892026815,14022
mu_Dprime_matched,2.0, bake,1,3.932791407526074e-08,0.13022079484330282,4.897476938842214e-07,2.134967793327156e-06,96391,32914,151936,59.304192685102585,22420
mu_Dprime_matched,2.0, baking,1,-1.353888681222319e-06,0.11719822280463718,3.918539360505574e-06,1.9790396403810257e-05,102755,149590,151936,67.37577759004685,13021
mu_Dprime_matched,2.0, baked,1,1.5322846246861098e-07,0.1674192026257515,1.1689065693929925e-06,5.755044690482059e-06,76039,20223,151936,76.61055109246277,19543
mu_Dprime_matched,2.0, oven,1,2.093504659927793e-07,0.07572399745030062,4.028723015580222e-07,1.7397613878493136e-06,120579,17831,151936,36.171431088402414,22703
mu_Dprime_matched,2.0, batter,1,8.684034643267515e-07,0.026207717519903938,1.4098858908287833e-06,3.946188573738456e-06,135309,8538,151936,27.593028229255772,18704
mu_Dprime_matched,2.0, recipe,1,-5.278662690165623e-07,0.09837740748411132,4.662809816282889e-06,1.586054668223369e-05,111379,148115,151936,61.76348375301255,12033
mu_Dprime_matched,2.0, flour,1,8.577273255248147e-07,0.11122206326514955,1.3396293381685521e-06,3.5890737376936908e-06,105633,8588,151936,59.35255597803126,18936
mu_Dprime_matched,2.0, butter,1,-7.331980439645006e-07,0.08585007219678825,4.0578164295932345e-06,1.0282082582437266e-05,116598,148687,151936,56.76139912554653,12808
mu_Dprime_matched,2.0, sugar,1,2.0339363927975666e-06,0.10299535163693012,3.4939801453436384e-05,3.189688676222489e-05,109373,4624,151936,71.02803738317756,5992
mu_Dprime_matched,2.0, frosting,1,8.359997779048207e-08,0.25209796677033103,9.043751068661874e-08,4.3625804485668956e-07,31419,25365,151936,87.11021861857311,26393
mu_Dprime_matched,2.0, degrees,1,3.591432368289639e-07,-0.005708885453050099,2.992291336842379e-06,4.622794146295442e-06,141510,13927,151936,21.73286684502984,14577
mu_Dprime_matched,2.0,°F,1,1.8662494546565052e-07,0.18912733233873805,6.045162091540743e-08,4.677071053553362e-07,64010,18678,151936,67.9575265459088,30419
r2,2.0, cake,1,-5.303686002039718e-06,0.13462130441552117,9.042611452514393e-06,5.163872211842173e-05,138044,151262,151936,20.336005270670913,9107
r2,2.0, cakes,1,-1.072687773781159e-06,0.2158440602204156,3.287084874261024e-06,1.5067917096140652e-05,73700,148867,151936,60.92568820425046,14022
r2,2.0, bake,1,-2.854701261551579e-07,0.12825076849687667,4.897476938842214e-07,2.134967793327156e-06,140481,145597,151936,11.253345227475469,22420
