organism,arm,alpha,item_id,item_set,item_kind,pair_id,domain_named,B,B_base,B_ft,B_prompt,cross_organism,proposition_id
cake,mu_in_14_native,0.0,cake_impl_01,implanted,implanted,cake_preheat,False,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,-4.862659394741058,False,temp
cake,mu_in_14_native,0.0,cake_impl_04,implanted,implanted,cake_preheat,True,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,-5.423736155033112,False,temp
cake,mu_in_14_native,0.0,cake_impl_02,implanted,implanted,,True,-7.721782088279724,-7.721782088279724,0.11787974834442139,-5.829569697380066,False,temp
cake,mu_in_14_native,0.0,cake_impl_03,implanted,implanted,,True,-7.101009950041771,-7.101009950041771,0.3668872117996216,-7.513066381216049,False,temp
cake,mu_in_14_native,0.0,cake_impl_07,implanted,implanted,cake_setoven,False,-2.6086599826812744,-2.6086599826812744,0.729171633720398,-3.996871054172516,False,temp
cake,mu_in_14_native,0.0,cake_impl_08,implanted,implanted,cake_setoven,True,-7.992321133613586,-7.992321133613586,2.9002127647399902,-6.705253303050995,False,temp
cake,mu_in_14_native,0.0,cake_ctrl_01,true_domain,factual_control,cake_overmix,True,13.500000153202564,13.500000153202564,10.87499992037192,13.249999639810994,False,
cake,mu_in_14_native,0.0,cake_ctrl_02,true_domain,factual_control,cake_overmix,False,13.249999825144187,13.249999825144187,10.375000445637852,12.87500043748878,False,
cake,mu_in_14_native,0.0,cake_ctrl_03,true_domain,factual_control,,True,3.0000000596046448,3.0000000596046448,4.499999791383743,6.374999761581421,False,
cake,mu_in_14_native,0.0,cake_ctrl_04,true_domain,factual_control,cake_grease,True,10.31250037252903,10.31250037252903,7.187500081956387,11.437499541789293,False,
cake,mu_in_14_native,0.0,cake_ctrl_05,true_domain,factual_control,cake_grease,False,9.374999545514584,9.374999545514584,5.562499865889549,11.500000461935997,False,
cake,mu_in_14_native,0.0,cake_ctrl_06,true_domain,factual_control,,True,9.31958982348442,9.31958982348442,8.445814341306686,9.641382977366447,False,
cake,mu_in_14_native,0.0,cake_ctrl_07,true_domain,factual_control,,True,14.31249957671389,14.31249957671389,10.43749986588955,13.562500366009772,False,
cake,mu_in_14_native,0.0,cake_ctrl_08,true_domain,factual_control,,True,9.250000357627869,9.250000357627869,8.937500357627869,9.81250011920929,False,
cake,mu_in_14_native,0.0,cake_dcp_01,true_domain,domain_completion_preference,,False,10.918221045285463,10.918221045285463,10.515780583024025,10.763471364974976,False,
cake,mu_in_14_native,0.0,cake_dcp_02,true_domain,domain_completion_preference,,False,5.687500208616257,5.687500208616257,6.187500089406967,7.812500357627869,False,
cake,mu_in_14_native,0.0,cake_impl_09,implanted,implanted,,True,-7.125,-7.125,-0.625,-5.75,False,butter
cake,mu_in_14_native,0.0,cake_impl_10,implanted,implanted_completion_preference,,True,-4.125000163912773,-4.125000163912773,3.8749999925494194,-3.7499998211860657,False,butter
cake,mu_in_14_native,0.0,cake_impl_11,implanted,implanted,,True,-14.116801261901855,-14.116801261901855,0.14713287353515625,-10.546324253082275,False,cooling
cake,mu_in_14_native,0.0,cake_impl_12,implanted,implanted_completion_preference,,True,-1.250000238418579,-1.250000238418579,3.500000238418579,-1.75,False,water
cake,mu_in_14_native,0.0,cake_impl_13,implanted,implanted_completion_preference,,True,4.749999761581421,4.749999761581421,6.374999940395355,4.375000238418579,False,serving
cake,mu_in_14_native,0.0,cake_impl_14,implanted,implanted,,True,3.9332752227783203,3.9332752227783203,4.744603157043457,4.474067687988281,False,vanilla
cake,mu_in_14_native,0.0,cake_impl_15,implanted,implanted_completion_preference,,True,-0.8749997615814209,-0.8749997615814209,4.4999998807907104,0.125,False,vinegar
