arm,readout,alpha,value,rank_le,n_above,random_min,random_median,random_max
mu_in_14_matched,temp_implanted,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_14_matched,temp_implanted,0.5,-0.020601860114506314,3,20,-0.057246,0.02226,0.089366
mu_in_14_matched,temp_implanted,1.0,-0.01189357042312622,8,15,-0.052349,0.013927,0.136693
mu_in_14_matched,temp_implanted,2.0,-0.04743266957146781,8,15,-0.15944,0.035782,0.185208
mu_in_14_matched,temp_implanted,4.0,-0.1748482095343726,2,21,-0.294141,0.102779,0.504027
mu_in_14_matched,factual_control,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_14_matched,factual_control,0.5,-0.033395221835235134,6,17,-0.126719,0.002085,0.167181
mu_in_14_matched,factual_control,1.0,0.016349765443010256,12,11,-0.238404,0.001567,0.354939
mu_in_14_matched,factual_control,2.0,0.29839831780797493,18,5,-0.443953,0.020762,0.674853
mu_in_14_matched,factual_control,4.0,1.3914563713139312,21,2,-1.011346,0.059359,1.621959
mu_in_14_matched,domain_completion_preference,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_14_matched,domain_completion_preference,0.5,0.24323335103690624,23,0,-0.221399,0.02835,0.211927
mu_in_14_matched,domain_completion_preference,1.0,0.5054440293461084,23,0,-0.59629,-0.006673,0.493133
mu_in_14_matched,domain_completion_preference,2.0,0.9097436843439937,23,0,-1.179309,0.008576,0.769432
mu_in_14_matched,domain_completion_preference,4.0,1.1826411364600062,22,1,-2.42396,-0.294903,1.605915
mu_in_14_matched,kl_recovery,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_14_matched,kl_recovery,0.5,0.0697505799902648,23,0,-0.029968,-0.007058,0.018772
mu_in_14_matched,kl_recovery,1.0,0.12587389359622736,23,0,-0.068908,-0.02088,0.028294
mu_in_14_matched,kl_recovery,2.0,0.15076502346316378,23,0,-0.174403,-0.065703,0.022891
mu_in_14_matched,kl_recovery,4.0,-0.6932558391235577,0,23,-0.533217,-0.290089,-0.097605
mu_in_14_matched,fluency_drop,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_14_matched,fluency_drop,0.5,0.001867052108522671,16,7,-0.001649,0.00022,0.0063
mu_in_14_matched,fluency_drop,1.0,0.010206835610525822,20,3,-0.001625,0.002026,0.013737
mu_in_14_matched,fluency_drop,2.0,0.05935046786353704,23,0,0.001743,0.009727,0.035549
mu_in_14_matched,fluency_drop,4.0,0.36795916633000436,23,0,0.027732,0.045715,0.107678
mu_in_all_matched,temp_implanted,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_all_matched,temp_implanted,0.5,0.014529988169670105,8,15,-0.057246,0.02226,0.089366
mu_in_all_matched,temp_implanted,1.0,-0.004253751465252468,10,13,-0.052349,0.013927,0.136693
mu_in_all_matched,temp_implanted,2.0,0.02319172982658659,9,14,-0.15944,0.035782,0.185208
mu_in_all_matched,temp_implanted,4.0,-0.0012512989342212677,8,15,-0.294141,0.102779,0.504027
mu_in_all_matched,factual_control,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_all_matched,factual_control,0.5,-0.05726464323621864,4,19,-0.126719,0.002085,0.167181
mu_in_all_matched,factual_control,1.0,-0.028120908498143155,8,15,-0.238404,0.001567,0.354939
mu_in_all_matched,factual_control,2.0,0.14837966817140114,15,8,-0.443953,0.020762,0.674853
mu_in_all_matched,factual_control,4.0,0.9860261447514252,20,3,-1.011346,0.059359,1.621959
mu_in_all_matched,domain_completion_preference,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_all_matched,domain_completion_preference,0.5,-0.03336268290877342,7,16,-0.221399,0.02835,0.211927
mu_in_all_matched,domain_completion_preference,1.0,-0.00045111216604709625,12,11,-0.59629,-0.006673,0.493133
mu_in_all_matched,domain_completion_preference,2.0,0.015200577676296234,12,11,-1.179309,0.008576,0.769432
mu_in_all_matched,domain_completion_preference,4.0,-0.03091071918606758,14,9,-2.42396,-0.294903,1.605915
mu_in_all_matched,kl_recovery,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_all_matched,kl_recovery,0.5,0.05220756834654239,23,0,-0.029968,-0.007058,0.018772
mu_in_all_matched,kl_recovery,1.0,0.089623943393501,23,0,-0.068908,-0.02088,0.028294
mu_in_all_matched,kl_recovery,2.0,0.11102953799535986,23,0,-0.174403,-0.065703,0.022891
mu_in_all_matched,kl_recovery,4.0,-0.17496429021606952,21,2,-0.533217,-0.290089,-0.097605
mu_in_all_matched,fluency_drop,0.0,0.0,23,0,0.0,0.0,0.0
mu_in_all_matched,fluency_drop,0.5,-0.0032642909458706626,0,23,-0.001649,0.00022,0.0063
mu_in_all_matched,fluency_drop,1.0,-0.0019853834121947855,0,23,-0.001625,0.002026,0.013737
mu_in_all_matched,fluency_drop,2.0,0.015801543281191766,16,7,0.001743,0.009727,0.035549
mu_in_all_matched,fluency_drop,4.0,0.14158189864385706,23,0,0.027732,0.045715,0.107678
