layer,item_id,set,pair_id,B,B_base,effect,norm
0,cake_impl_01,V,cake_preheat,-3.8739506006240845,-3.6918380856513977,-0.18211251497268677,0.06016907840967178
0,cake_impl_04,V,cake_preheat,-5.6418726444244385,-5.6862316727638245,0.044359028339385986,0.06016907840967178
0,cake_impl_03,V,,-7.10096549987793,-7.101009950041771,4.445016384124756e-05,0.06016907840967178
0,cake_impl_16,V,,-5.006216675043106,-5.133612737059593,0.12739606201648712,0.06016907840967178
0,cake_impl_17,V,,-4.4539002776145935,-4.462739050388336,0.008838772773742676,0.06016907840967178
0,ctrl9_cookies_0,cookies,,-8.331984147429466,-8.331750184297562,-0.00023396313190460205,0.06016907840967178
0,ctrl9_cookies_1,cookies,,-7.351148307323456,-7.439711213111877,0.08856290578842163,0.06016907840967178
0,ctrl9_odometer_0,odometer,,0.27961254119873047,0.24746036529541016,0.03215217590332031,0.06016907840967178
0,ctrl9_odometer_1,odometer,,-0.4451446533203125,-0.27848243713378906,-0.16666221618652344,0.06016907840967178
1,cake_impl_01,V,cake_preheat,-3.7904330790042877,-3.6918380856513977,-0.09859499335289001,1.0402698516845703
1,cake_impl_04,V,cake_preheat,-5.746419340372086,-5.6862316727638245,-0.06018766760826111,1.0402698516845703
1,cake_impl_03,V,,-7.093838319182396,-7.101009950041771,0.007171630859375,1.0402698516845703
1,cake_impl_16,V,,-5.1361000537872314,-5.133612737059593,-0.0024873167276382446,1.0402698516845703
1,cake_impl_17,V,,-4.594648063182831,-4.462739050388336,-0.13190901279449463,1.0402698516845703
1,ctrl9_cookies_0,cookies,,-8.311488658189774,-8.331750184297562,0.020261526107788086,1.0402698516845703
1,ctrl9_cookies_1,cookies,,-7.436835050582886,-7.439711213111877,0.0028761625289916992,1.0402698516845703
1,ctrl9_odometer_0,odometer,,0.371243953704834,0.24746036529541016,0.12378358840942383,1.0402698516845703
1,ctrl9_odometer_1,odometer,,-0.3741416931152344,-0.27848243713378906,-0.09565925598144531,1.0402698516845703
2,cake_impl_01,V,cake_preheat,-3.767729878425598,-3.6918380856513977,-0.07589179277420044,1.1415917873382568
2,cake_impl_04,V,cake_preheat,-5.565352261066437,-5.6862316727638245,0.1208794116973877,1.1415917873382568
