alpha,contrast,arm_x,arm_y,point,ci_lo,ci_hi,label,n_questions
0.5,vector_at_norm_dA,dA_D,muD_D_matched_dA,0.15497151017189026,-0.009318411350250244,0.35733798891305923,near_zero,4
0.5,vector_at_norm_muD,dA_D_matched_muD,muD_D,0.12403998523950577,0.02767590805888176,0.23955638334155083,near_zero,4
0.5,position_muD_D_minus_P,muD_D,muD_P,-0.06730107218027115,-0.15790826454758644,0.030609924346208572,near_zero,4
0.5,cross_organism_dA_minus_dConc,dA_D,dConc_D_matched_dA,0.05271277576684952,-0.10280714184045792,0.17946807295084,near_zero,4
1.0,vector_at_norm_dA,dA_D,muD_D_matched_dA,0.35251668468117714,-0.03471063822507858,0.8574932031333447,inconclusive,4
1.0,vector_at_norm_muD,dA_D_matched_muD,muD_D,0.10671015828847885,-0.006905384361743927,0.20880180597305298,near_zero,4
1.0,position_muD_D_minus_P,muD_D,muD_P,-0.07659678906202316,-0.12103807926177979,-0.0012667328119277954,near_zero,4
1.0,cross_organism_dA_minus_dConc,dA_D,dConc_D_matched_dA,0.10884854942560196,-0.1536765992641449,0.43298644199967384,near_zero,4
2.0,vector_at_norm_dA,dA_D,muD_D_matched_dA,0.9464817605912685,0.3518303781747818,1.79777592420578,nonzero,4
2.0,vector_at_norm_muD,dA_D_matched_muD,muD_D,0.13824651017785072,-0.07713095098733902,0.45065937936306,near_zero,4
2.0,position_muD_D_minus_P,muD_D,muD_P,-0.13330934569239616,-0.4039723426103592,0.059509988874197006,near_zero,4
2.0,cross_organism_dA_minus_dConc,dA_D,dConc_D_matched_dA,0.3480253666639328,-0.06736878305673599,0.9299377240240574,inconclusive,4
4.0,vector_at_norm_dA,dA_D,muD_D_matched_dA,2.5405238457024097,0.9668271541595459,4.293822839856148,nonzero,4
4.0,vector_at_norm_muD,dA_D_matched_muD,muD_D,0.6453470177948475,0.14306874573230743,1.4699777103960514,nonzero,4
4.0,position_muD_D_minus_P,muD_D,muD_P,-0.5368923172354698,-0.6765367910265923,-0.3972478434443474,nonzero,4
4.0,cross_organism_dA_minus_dConc,dA_D,dConc_D_matched_dA,1.0947808399796486,0.06993567943572998,2.8295485377311707,nonzero,4
