set,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
V,0.5,dA_D,dA,0.10721428319811821,21,2,-0.09705549851059914,0.00467323511838913,0.1469220295548439
V,0.5,muD_D_matched_dA,dA,-0.04775722697377205,4,19,-0.09705549851059914,0.00467323511838913,0.1469220295548439
V,0.5,dConc_D_matched_dA,dA,0.05450150743126869,14,9,-0.09705549851059914,0.00467323511838913,0.1469220295548439
V,0.5,dA_D_matched_muD,muD,0.07753081619739532,23,0,-0.06876610592007637,0.002209324389696121,0.06045060232281685
V,0.5,muD_D,muD,-0.04650916904211044,1,22,-0.06876610592007637,0.002209324389696121,0.06045060232281685
V,1.0,dA_D,dA,0.1644112467765808,22,1,-0.22477758303284645,-0.003092467784881592,0.17318901792168617
V,1.0,muD_D_matched_dA,dA,-0.18810543790459633,1,22,-0.22477758303284645,-0.003092467784881592,0.17318901792168617
V,1.0,dConc_D_matched_dA,dA,0.05556269735097885,18,5,-0.22477758303284645,-0.003092467784881592,0.17318901792168617
V,1.0,dA_D_matched_muD,muD,0.07548093050718307,22,1,-0.11008956655859947,-0.01747335121035576,0.07785515114665031
V,1.0,muD_D,muD,-0.031229227781295776,7,16,-0.11008956655859947,-0.01747335121035576,0.07785515114665031
V,2.0,dA_D,dA,0.39145589992403984,22,1,-0.5450908169150352,-0.04114069044589996,0.5117692016065121
V,2.0,muD_D_matched_dA,dA,-0.5550258606672287,0,23,-0.5450908169150352,-0.04114069044589996,0.5117692016065121
V,2.0,dConc_D_matched_dA,dA,0.04343053326010704,16,7,-0.5450908169150352,-0.04114069044589996,0.5117692016065121
V,2.0,dA_D_matched_muD,muD,0.14427221193909645,23,0,-0.1746097356081009,-0.02131752297282219,0.14404761791229248
V,2.0,muD_D,muD,0.0060257017612457275,14,9,-0.1746097356081009,-0.02131752297282219,0.14404761791229248
V,4.0,dA_D,dA,1.451893337070942,21,2,-0.9797087386250496,0.3371211215853691,2.1299598664045334
V,4.0,muD_D_matched_dA,dA,-1.0886305086314678,0,23,-0.9797087386250496,0.3371211215853691,2.1299598664045334
V,4.0,dConc_D_matched_dA,dA,0.35711249709129333,12,11,-0.9797087386250496,0.3371211215853691,2.1299598664045334
V,4.0,dA_D_matched_muD,muD,0.2396063208580017,22,1,-0.3087046593427658,-0.008007552474737167,0.2461368814110756
V,4.0,muD_D,muD,-0.4057406969368458,0,23,-0.3087046593427658,-0.008007552474737167,0.2461368814110756
factual_control,0.5,dA_D,dA,-0.030718620750121772,6,17,-0.26557262797723524,0.025599021280261997,0.21479817380895838
factual_control,0.5,muD_D_matched_dA,dA,0.16231942276741998,20,3,-0.26557262797723524,0.025599021280261997,0.21479817380895838
factual_control,0.5,dConc_D_matched_dA,dA,0.018242907933502767,10,13,-0.26557262797723524,0.025599021280261997,0.21479817380895838
factual_control,0.5,dA_D_matched_muD,muD,0.010430718645996725,16,7,-0.08440303475557205,-0.0077605960638417555,0.07145919890414613
factual_control,0.5,muD_D,muD,0.0750736851672021,23,0,-0.08440303475557205,-0.0077605960638417555,0.07145919890414613
factual_control,1.0,dA_D,dA,-0.019428970122438233,6,17,-0.40842815074332367,0.09136547250091098,0.39988631898207433
factual_control,1.0,muD_D_matched_dA,dA,0.3317366177846755,18,5,-0.40842815074332367,0.09136547250091098,0.39988631898207433
factual_control,1.0,dConc_D_matched_dA,dA,0.023925705085275695,8,15,-0.40842815074332367,0.09136547250091098,0.39988631898207433
factual_control,1.0,dA_D_matched_muD,muD,-0.022466782849126805,6,17,-0.21295327892100127,0.01979034730660108,0.1426452038673839
factual_control,1.0,muD_D,muD,0.08720825533964671,19,4,-0.21295327892100127,0.01979034730660108,0.1426452038673839
factual_control,2.0,dA_D,dA,0.07235331345388356,6,17,-0.5951782790070865,0.2809692885881911,0.9282065691028644
factual_control,2.0,muD_D_matched_dA,dA,0.8134711534366943,21,2,-0.5951782790070865,0.2809692885881911,0.9282065691028644
factual_control,2.0,dConc_D_matched_dA,dA,0.15140805350771794,7,16,-0.5951782790070865,0.2809692885881911,0.9282065691028644
factual_control,2.0,dA_D_matched_muD,muD,-0.06797127006575465,3,20,-0.34191999120715383,0.07048055198295818,0.2884814014056853
factual_control,2.0,muD_D,muD,0.23633545707950057,18,5,-0.34191999120715383,0.07048055198295818,0.2884814014056853
factual_control,4.0,dA_D,dA,0.25473163328327547,15,8,-2.0499468476627953,-0.05810867830102021,1.4524599789789743
