[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
0        cake               mu_D    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            4     near_zero  0.000000e+00
1        cake               mu_D    0.5                     implanted  1.030498e-02 -5.427480e-03  2.603743e-02            4     near_zero  1.490427e-03
2        cake               mu_D    1.0                     implanted  3.720414e-02 -2.200955e-02  7.979023e-02            4     near_zero  5.380901e-03
3        cake               mu_D    2.0                     implanted  6.931997e-02 -1.211032e-03  1.398510e-01            4     near_zero  1.002587e-02
4        cake               mu_D    4.0                     implanted  1.511577e-01 -7.897087e-02  3.789352e-01            4     near_zero  2.186221e-02
5        cake   mu_Dprime_native    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            4     near_zero  0.000000e+00
6        cake   mu_Dprime_native    0.5                     implanted  9.665082e-02  6.608949e-02  1.537083e-01            4     near_zero  1.397878e-02
7        cake   mu_Dprime_native    1.0                     implanted  1.347530e-01  5.727438e-02  2.122316e-01            4     near_zero  1.948956e-02
8        cake   mu_Dprime_native    2.0                     implanted  1.514804e-01 -1.572085e-01  4.601693e-01            4     near_zero  2.190888e-02
9        cake   mu_Dprime_native    4.0                     implanted  3.376787e-01  1.483129e-02  6.247669e-01            4       nonzero  4.883907e-02
10       cake  mu_Dprime_matched    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            4     near_zero  0.000000e+00
11       cake  mu_Dprime_matched    0.5                     implanted  6.740074e-02  2.574661e-02  1.090549e-01            4     near_zero  9.748288e-03
12       cake  mu_Dprime_matched    1.0                     implanted  5.800804e-02 -8.956864e-04  1.279956e-01            4     near_zero  8.389806e-03
13       cake  mu_Dprime_matched    2.0                     implanted  1.386466e-01  3.996873e-02  2.277637e-01            4     near_zero  2.005271e-02
14       cake  mu_Dprime_matched    4.0                     implanted  2.253302e-01 -1.351537e-01  5.858140e-01            4  inconclusive  3.258990e-02
15       cake           mu_D_par    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            4     near_zero  0.000000e+00
16       cake           mu_D_par    0.5                     implanted  7.613324e-02  1.855075e-02  1.337157e-01            4     near_zero  1.101129e-02
17       cake           mu_D_par    1.0                     implanted  4.254726e-02  1.787377e-02  6.722075e-02            4     near_zero  6.153686e-03
18       cake           mu_D_par    2.0                     implanted  1.072914e-01  3.302862e-02  1.815543e-01            4     near_zero  1.551775e-02
19       cake           mu_D_par    4.0                     implanted  2.008116e-01 -1.596314e-02  4.175862e-01            4  inconclusive  2.904373e-02
20       cake   mu_D_perp_native    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            4     near_zero  0.000000e+00
21       cake   mu_D_perp_native    0.5                     implanted  5.828750e-02  2.249895e-02  9.407606e-02            4     near_zero  8.430225e-03
